,中债-国债总财富(总值)指数,中债-信用债总财富(总值)指数,沪深300指数(全收益),上证50(全收益),SGE黄金9999
2010-01-04,0.3017993614232566,0.6289431266272195,0.01900849508907131,0.018918814191447565,0.03133020266900521
2010-01-05,0.30145877755687533,0.62829316408058,0.01913982855066393,0.01911603954866335,0.03199219026321739
2010-01-06,0.30169587065921105,0.6286955016317559,0.019026522442989236,0.01889725709187176,0.03168484817417224
2010-01-07,0.3016884213860709,0.6289788016232537,0.01865818479163472,0.018528591116158056,0.03214600108288284
2010-01-08,0.301679105881132,0.6291785339308494,0.018714297282021914,0.01855610515555104,0.031871957750445594
2010-01-11,0.30156627735972563,0.6283355472666249,0.019001163198008895,0.018996275608127545,0.03210073656751332
2010-01-12,0.30139445125319025,0.6279149852955015,0.019282168481004325,0.01921283317964519,0.03219556179065914
2010-01-13,0.3018126004330582,0.6294355532771878,0.018711516163991884,0.01843165811766214,0.03160867200810027
2010-01-14,0.30150556814664886,0.6291152138557214,0.018950160536746943,0.018586389718477567,0.031842667742405524
2010-01-15,0.30139106299470103,0.6291676782339591,0.019016399747709307,0.01861667386688357,0.03180818515674724
2010-01-18,0.3017746683166686,0.6289892148707373,0.019096655180391678,0.01885829338400742,0.031281168248195046
2010-01-19,0.30185210737539553,0.6287234967040479,0.019124289464996377,0.018938698861884824,0.03136140759367545
2010-01-20,0.3022085445022054,0.6297041945345898,0.018512557242869567,0.018373232632520744,0.031201471087814518
2010-01-21,0.30216606233871146,0.6299748497777443,0.018586327585289532,0.018512056679493266,0.030760703618761532
2010-01-22,0.302297693815641,0.6304533219121069,0.018367983871035814,0.01852686171813479,0.03035413868308187
2010-01-25,0.30198311741680534,0.629132152933435,0.01878663154695837,0.01870822514605797,0.031389872956743385
2010-01-26,0.3023631548222152,0.6296763048166946,0.018304978479549833,0.018379575296372963,0.03127598658516763
2010-01-27,0.30268657988185443,0.630073732911302,0.018060829369376714,0.01801262440507207,0.031166233432394958
2010-01-28,0.30282991735344583,0.6302304161860418,0.01810473660428692,0.017915948134957376,0.03091898172126836
2010-01-29,0.3031680162102371,0.630146093870971,0.01808979604684179,0.01784612247585665,0.0307499713960935
2010-02-01,0.31177434896447914,0.6260555854227658,0.01683132027451761,0.016748489078013046,0.028590256260224396
2010-02-02,0.3117393749826703,0.6256308414007137,0.016775129505911698,0.016765752560050286,0.02908890155065419
2010-02-03,0.3116458199411802,0.6246000240269185,0.017191149955670164,0.017213902351001942,0.029349103725229357
2010-02-04,0.3116649649477352,0.6250767768391153,0.01714026315155266,0.017102133260735293,0.02901586180086165
2010-02-05,0.3124296218017372,0.625923994237982,0.01680785886738871,0.01680385697208096,0.02803466812081124
2010-02-08,0.3112424211833104,0.6260677815314294,0.017104958496974222,0.01695764215869809,0.028627196629588052
