date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2019-12-04,,,,,,1.0,1.0,1.0
2019-12-05,,,,,,1.0,1.0,1.0
2019-12-06,,,,,,1.0001,1.0001,1.0001
2019-12-09,,,,,,1.0003,1.0003,1.0003
2019-12-10,,,,,,1.0004,1.0004,1.0004
2019-12-11,,,,,,1.0004,1.0004,1.0004
2019-12-12,,,,,,1.0005,1.0005,1.0005
2019-12-13,,,,,,1.0006,1.0006,1.0006
2019-12-16,,,,,,1.0006,1.0006,1.0006
2019-12-17,,,,,,1.0006,1.0006,1.0006
2019-12-18,,,,,,1.0006,1.0006,1.0006
2019-12-19,,,,,,1.0006,1.0006,1.0006
2019-12-20,,,,,,1.0011,1.0011,1.0011
2019-12-23,,,,,,1.0011,1.0011,1.0011
2019-12-24,,,,,,1.0011,1.0011,1.0011
2019-12-25,,,,,,1.0011,1.0011,1.0011
2019-12-26,,,,,,1.0011,1.0011,1.0011
2019-12-27,,,,,,1.0016,1.0016,1.0016
2019-12-30,,,,,,1.0016,1.0016,1.0016
2019-12-31,,,,,,1.0019,1.0019,1.0019
2020-01-02,,,,,,1.0019,1.0019,1.0019
2020-01-03,,,,,,1.0021,1.0021,1.0021
2020-01-06,,,,,,1.0021,1.0021,1.0021
2020-01-07,,,,,,1.0021,1.0021,1.0021
2020-01-08,,,,,,1.0021,1.0021,1.0021
2020-01-09,,,,,,1.0021,1.0021,1.0021
2020-01-10,,,,,,1.0026,1.0026,1.0026
2020-01-13,,,,,,1.0028,1.0028,1.0028
2020-01-14,,,,,,1.0029,1.0029,1.0029
2020-01-15,,,,,,1.003,1.003,1.003
2020-01-16,,,,,,1.003,1.003,1.003
2020-01-17,,,,,,1.0031,1.0031,1.0031
2020-01-20,,,,,,1.0032,1.0032,1.0032
2020-01-21,,,,,,1.0032,1.0032,1.0032
2020-01-22,,,,,,1.0033,1.0033,1.0033
2020-01-23,,,,,,1.0034,1.0034,1.0034
2020-02-03,,,,,,1.0045,1.0045,1.0045
2020-02-04,,,,,,1.0046,1.0046,1.0046
2020-02-05,,,,,,1.0047,1.0047,1.0047
2020-02-06,,,,,,1.0049,1.0049,1.0049
2020-02-07,,,,,,1.0051,1.0051,1.0051
2020-02-10,,,,,,1.0054,1.0054,1.0054
2020-02-11,,,,,,1.0056,1.0056,1.0056
2020-02-12,,,,,,1.0056,1.0056,1.0056
2020-02-13,,,,,,1.0057,1.0057,1.0057
2020-02-14,,,,,,1.0058,1.0058,1.0058
2020-02-17,,,,,,1.006,1.006,1.006
2020-02-18,,,,,,1.006,1.006,1.006
2020-02-19,,,,,,1.0061,1.0061,1.0061
2020-02-20,,,,,,1.0062,1.0062,1.0062
2020-02-21,,,,,,1.0062,1.0062,1.0062
2020-02-24,,,,,,1.0065,1.0065,1.0065
2020-02-25,,,,,,1.0065,1.0065,1.0065
2020-02-26,,,,,,1.0067,1.0067,1.0067
2020-02-27,,,,,,1.0069,1.0069,1.0069
2020-02-28,,,,,,1.007,1.007,1.007
2020-03-02,,,,,,1.0072,1.0072,1.0072
2020-03-03,,,,,,1.0073,1.0073,1.0073
2020-03-04,,,,,,1.0076,1.0076,1.0076
2020-03-05,,,,,,1.0077,1.0077,1.0077
2020-03-06,,,,,,1.008,1.008,1.008
2020-03-09,,,,,,1.0086,1.0086,1.0086
2020-03-10,,,,,,1.0086,1.0086,1.0086
2020-03-11,,,,,,1.0085,1.0085,1.0085
2020-03-12,,,,,,1.0085,1.0085,1.0085
2020-03-13,,,,,,1.0085,1.0085,1.0085
2020-03-16,,,,,,1.0087,1.0087,1.0087
2020-03-17,,,,,,1.0085,1.0085,1.0085
2020-03-18,,,,,,1.0087,1.0087,1.0087
2020-03-19,,,,,,1.0089,1.0089,1.0089
2020-03-20,,,,,,1.0092,1.0092,1.0092
2020-03-23,,,,,,1.0095,1.0095,1.0095
2020-03-24,,,,,,1.01,1.01,1.01
2020-03-25,,,,,,1.01,1.01,1.01
2020-03-26,,,,,,1.0102,1.0102,1.0102
2020-03-27,,,,,,1.0101,1.0101,1.0101
2020-03-30,,,,,,1.0103,1.0103,1.0103
2020-03-31,,,,,,1.0103,1.0103,1.0103
2020-04-01,,,,,,1.0107,1.0107,1.0107
2020-04-02,,,,,,1.011,1.011,1.011
2020-04-03,,,,,,1.0113,1.0113,1.0113
2020-04-07,,,,,,1.0125,1.0125,1.0125
2020-04-08,,,,,,1.0133,1.0133,1.0133
2020-04-09,,,,,,1.0137,1.0137,1.0137
2020-04-10,,,,,,1.0138,1.0138,1.0138
2020-04-13,,,,,,1.0139,1.0139,1.0139
2020-04-14,,,,,,1.0142,1.0142,1.0142
2020-04-15,,,,,,1.0144,1.0144,1.0144
2020-04-16,,,,,,1.0149,1.0149,1.0149
2020-04-17,,,,,,1.0151,1.0151,1.0151
2020-04-20,,,,,,1.0157,1.0157,1.0157
2020-04-21,,,,,,1.0159,1.0159,1.0159
2020-04-22,,,,,,1.0162,1.0162,1.0162
2020-04-23,,,,,,1.0165,1.0165,1.0165
2020-04-24,,,,,,1.0165,1.0165,1.0165
2020-04-27,,,,,,1.0166,1.0166,1.0166
2020-04-28,,,,,,1.0167,1.0167,1.0167
2020-04-29,,,,,,1.0169,1.0169,1.0169
2020-04-30,,,,,,1.017,1.017,1.017
2020-05-06,,,,,,1.0175,1.0175,1.0175
2020-05-07,,,,,,1.0174,1.0174,1.0174
2020-05-08,,,,,,1.0172,1.0172,1.0172
2020-05-11,,,,,,1.0169,1.0169,1.0169
2020-05-12,,,,,,1.0168,1.0168,1.0168
2020-05-13,,,,,,1.0168,1.0168,1.0168
2020-05-14,,,,,,1.0168,1.0168,1.0168
2020-05-15,,,,,,1.0167,1.0167,1.0167
2020-05-18,,,,,,1.0168,1.0168,1.0168
2020-05-19,,,,,,1.0167,1.0167,1.0167
2020-05-20,,,,,,1.0167,1.0167,1.0167
2020-05-21,,,,,,1.0168,1.0168,1.0168
2020-05-22,,,,,,1.0167,1.0167,1.0167
2020-05-25,,,,,,1.0166,1.0166,1.0166
2020-05-26,,,,,,1.0161,1.0161,1.0161
2020-05-27,,,,,,1.0157,1.0157,1.0157
2020-05-28,,,,,,1.0155,1.0155,1.0155
2020-05-29,,,,,,1.0154,1.0154,1.0154
2020-06-01,,,,,,1.0154,1.0154,1.0154
2020-06-02,,,,,,1.0144,1.0144,1.0144
2020-06-03,,,,,,1.0131,1.0131,1.0131
2020-06-04,,,,,,1.0127,1.0127,1.0127
2020-06-05,,,,,,1.0112,1.0112,1.0112
2020-06-08,,,,,,1.0109,1.0109,1.0109
2020-06-09,,,,,,1.0111,1.0111,1.0111
2020-06-10,,,,,,1.0113,1.0113,1.0113
2020-06-11,,,,,,1.0116,1.0116,1.0116
2020-06-12,,,,,,1.0119,1.0119,1.0119
2020-06-15,,,,,,1.0123,1.0123,1.0123
2020-06-16,,,,,,1.0123,1.0123,1.0123
2020-06-17,,,,,,1.0119,1.0119,1.0119
2020-06-18,,,,,,1.012,1.012,1.012
2020-06-19,,,,,,1.0119,1.0119,1.0119
2020-06-22,,,,,,1.0118,1.0118,1.0118
2020-06-23,,,,,,1.0113,1.0113,1.0113
2020-06-24,,,,,,1.0115,1.0115,1.0115
2020-06-29,,,,,,1.0122,1.0122,1.0122
2020-06-30,,,,,,1.0123,1.0123,1.0123
2020-07-01,,,,,,1.0125,1.0125,1.0125
2020-07-02,,,,,,1.0125,1.0125,1.0125
2020-07-03,,,,,,1.0127,1.0127,1.0127
2020-07-06,,,,,,1.0121,1.0121,1.0121
2020-07-07,,,,,,1.0113,1.0113,1.0113
2020-07-08,,,,,,1.011,1.011,1.011
2020-07-09,,,,,,1.0101,1.0101,1.0101
2020-07-10,,,,,,1.0096,1.0096,1.0096
2020-07-13,,,,,,1.009,1.009,1.009
2020-07-14,,,,,,1.009,1.009,1.009
2020-07-15,,,,,,1.009,1.009,1.009
2020-07-16,,,,,,1.0092,1.0092,1.0092
2020-07-17,,,,,,1.0094,1.0094,1.0094
