date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2016-12-26,,,,,,1.0,1.0,1.0
2016-12-27,,,,,,1.0,1.0,1.0
2016-12-28,,,,,,1.0,1.0,1.0
2016-12-29,,,,,,1.0,1.0,1.0
2016-12-30,,,,,,1.0005,1.0005,1.0005
2017-01-03,,,,,,1.0006,1.0006,1.0006
2017-01-04,,,,,,1.0006,1.0006,1.0006
2017-01-05,,,,,,1.0006,1.0006,1.0006
2017-01-06,,,,,,1.0013,1.0013,1.0013
2017-01-09,,,,,,1.0013,1.0013,1.0013
2017-01-10,,,,,,1.0013,1.0013,1.0013
2017-01-11,,,,,,1.0013,1.0013,1.0013
2017-01-12,,,,,,1.0013,1.0013,1.0013
2017-01-13,,,,,,1.0017,1.0017,1.0017
2017-01-16,,,,,,1.0017,1.0017,1.0017
2017-01-17,,,,,,1.0017,1.0017,1.0017
2017-01-18,,,,,,1.0017,1.0017,1.0017
2017-01-19,,,,,,1.0017,1.0017,1.0017
2017-01-20,,,,,,1.002,1.002,1.002
2017-01-23,,,,,,1.002,1.002,1.002
2017-01-24,,,,,,1.002,1.002,1.002
2017-01-25,,,,,,1.002,1.002,1.002
2017-01-26,,,,,,1.0023,1.0023,1.0023
2017-02-03,,,,,,1.0027,1.0027,1.0027
2017-02-06,,,,,,1.0027,1.0027,1.0027
2017-02-07,,,,,,1.0027,1.0027,1.0027
2017-02-08,,,,,,1.0027,1.0027,1.0027
2017-02-09,,,,,,1.0027,1.0027,1.0027
2017-02-10,,,,,,1.0029,1.0029,1.0029
2017-02-13,,,,,,1.0029,1.0029,1.0029
2017-02-14,,,,,,1.0029,1.0029,1.0029
2017-02-15,,,,,,1.0029,1.0029,1.0029
2017-02-16,,,,,,1.0029,1.0029,1.0029
2017-02-17,,,,,,1.0036,1.0036,1.0036
2017-02-20,,,,,,1.0036,1.0036,1.0036
2017-02-21,,,,,,1.0036,1.0036,1.0036
2017-02-22,,,,,,1.0036,1.0036,1.0036
2017-02-23,,,,,,1.0036,1.0036,1.0036
2017-02-24,,,,,,1.0044,1.0044,1.0044
2017-02-27,,,,,,1.0044,1.0044,1.0044
2017-02-28,,,,,,1.0048,1.0048,1.0048
2017-03-01,,,,,,1.0048,1.0048,1.0048
2017-03-02,,,,,,1.005,1.005,1.005
2017-03-03,,,,,,1.0054,1.0054,1.0054
2017-03-06,,,,,,1.0055,1.0055,1.0055
2017-03-07,,,,,,1.0055,1.0055,1.0055
2017-03-08,,,,,,1.0055,1.0055,1.0055
2017-03-09,,,,,,1.0056,1.0056,1.0056
2017-03-10,,,,,,1.0056,1.0056,1.0056
2017-03-13,,,,,,1.0059,1.0059,1.0059
2017-03-14,,,,,,1.0059,1.0059,1.0059
2017-03-15,,,,,,1.006,1.006,1.006
2017-03-16,,,,,,1.0061,1.0061,1.0061
2017-03-17,,,,,,1.006,1.006,1.006
2017-03-20,,,,,,1.0063,1.0063,1.0063
2017-03-21,,,,,,1.0061,1.0061,1.0061
2017-03-22,,,,,,1.0063,1.0063,1.0063
2017-03-23,,,,,,1.0064,1.0064,1.0064
2017-03-24,,,,,,1.0067,1.0067,1.0067
2017-03-27,,,,,,1.0072,1.0072,1.0072
2017-03-28,,,,,,1.0072,1.0072,1.0072
2017-03-29,,,,,,1.0073,1.0073,1.0073
2017-03-30,,,,,,1.0074,1.0074,1.0074
2017-03-31,,,,,,1.0074,1.0074,1.0074
2017-04-05,,,,,,1.0088,1.0088,1.0088
2017-04-06,,,,,,1.009,1.009,1.009
2017-04-07,,,,,,1.0092,1.0092,1.0092
2017-04-10,,,,,,1.0094,1.0094,1.0094
2017-04-11,,,,,,1.0095,1.0095,1.0095
2017-04-12,,,,,,1.0096,1.0096,1.0096
2017-04-13,,,,,,1.0097,1.0097,1.0097
2017-04-14,,,,,,1.0098,1.0098,1.0098
2017-04-17,,,,,,1.01,1.01,1.01
2017-04-18,,,,,,1.01,1.01,1.01
2017-04-19,,,,,,1.0101,1.0101,1.0101
2017-04-20,,,,,,1.0102,1.0102,1.0102
2017-04-21,,,,,,1.0103,1.0103,1.0103
2017-04-24,,,,,,1.0105,1.0105,1.0105
2017-04-25,,,,,,1.0105,1.0105,1.0105
2017-04-26,,,,,,1.0107,1.0107,1.0107
2017-04-27,,,,,,1.0108,1.0108,1.0108
2017-04-28,,,,,,1.011,1.011,1.011
2017-05-02,,,,,,1.0114,1.0114,1.0114
2017-05-03,,,,,,1.0113,1.0113,1.0113
2017-05-04,,,,,,1.0113,1.0113,1.0113
2017-05-05,,,,,,1.0115,1.0115,1.0115
2017-05-08,,,,,,1.0117,1.0117,1.0117
2017-05-09,,,,,,1.0116,1.0116,1.0116
2017-05-10,,,,,,1.0116,1.0116,1.0116
2017-05-11,,,,,,1.0117,1.0117,1.0117
2017-05-12,,,,,,1.0117,1.0117,1.0117
2017-05-15,,,,,,1.0118,1.0118,1.0118
2017-05-16,,,,,,1.0119,1.0119,1.0119
2017-05-17,,,,,,1.012,1.012,1.012
2017-05-18,,,,,,1.0122,1.0122,1.0122
2017-05-19,,,,,,1.0123,1.0123,1.0123
2017-05-22,,,,,,1.0126,1.0126,1.0126
2017-05-23,,,,,,1.0127,1.0127,1.0127
2017-05-24,,,,,,1.0129,1.0129,1.0129
2017-05-25,,,,,,1.0131,1.0131,1.0131
2017-05-26,,,,,,1.0132,1.0132,1.0132
2017-05-31,,,,,,1.0138,1.0138,1.0138
2017-06-01,,,,,,1.0139,1.0139,1.0139
2017-06-02,,,,,,1.014,1.014,1.014
2017-06-05,,,,,,1.0145,1.0145,1.0145
2017-06-06,,,,,,1.0146,1.0146,1.0146
2017-06-07,,,,,,1.0144,1.0144,1.0144
2017-06-08,,,,,,1.0144,1.0144,1.0144
2017-06-09,,,,,,1.0143,1.0143,1.0143
2017-06-12,,,,,,1.0146,1.0146,1.0146
2017-06-13,,,,,,1.0148,1.0148,1.0148
2017-06-14,,,,,,1.0151,1.0151,1.0151
2017-06-15,,,,,,1.0152,1.0152,1.0152
2017-06-16,,,,,,1.0153,1.0153,1.0153
2017-06-19,,,,,,1.0159,1.0159,1.0159
2017-06-20,,,,,,1.016,1.016,1.016
2017-06-21,,,,,,1.0162,1.0162,1.0162
2017-06-22,,,,,,1.0164,1.0164,1.0164
2017-06-23,,,,,,1.0164,1.0164,1.0164
2017-06-26,,,,,,1.0169,1.0169,1.0169
2017-06-27,,,,,,1.0173,1.0173,1.0173
2017-06-28,,,,,,1.0175,1.0175,1.0175
2017-06-29,,,,,,1.0177,1.0177,1.0177
