date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2013-09-06,,,,,,1.0,1.0,1.0
2013-09-09,,,,,,1.0,1.0,1.0
2013-09-10,,,,,,1.0,1.0,1.0
2013-09-11,,,,,,1.0,1.0,1.0
2013-09-12,,,,,,1.0,1.0,1.0
2013-09-13,,,,,,1.0,1.0,1.0
2013-09-16,,,,,,1.001,1.001,1.001
2013-09-17,,,,,,1.001,1.001,1.001
2013-09-18,,,,,,1.001,1.001,1.001
2013-09-23,,,,,,1.001,1.001,1.001
2013-09-24,,,,,,1.002,1.002,1.002
2013-09-25,,,,,,1.002,1.002,1.002
2013-09-26,,,,,,1.002,1.002,1.002
2013-09-27,,,,,,1.002,1.002,1.002
2013-09-30,,,,,,1.002,1.002,1.002
2013-10-08,,,,,,1.004,1.004,1.004
2013-10-09,,,,,,1.004,1.004,1.004
2013-10-10,,,,,,1.004,1.004,1.004
2013-10-11,,,,,,1.004,1.004,1.004
2013-10-14,,,,,,1.004,1.004,1.004
2013-10-15,,,,,,1.005,1.005,1.005
2013-10-16,,,,,,1.005,1.005,1.005
2013-10-17,,,,,,1.005,1.005,1.005
2013-10-18,,,,,,1.005,1.005,1.005
2013-10-21,,,,,,1.005,1.005,1.005
2013-10-22,,,,,,1.006,1.006,1.006
2013-10-23,,,,,,1.006,1.006,1.006
2013-10-24,,,,,,1.006,1.006,1.006
2013-10-25,,,,,,1.006,1.006,1.006
2013-10-28,,,,,,1.006,1.006,1.006
2013-10-29,,,,,,1.006,1.006,1.006
2013-10-30,,,,,,1.007,1.007,1.007
2013-10-31,,,,,,1.007,1.007,1.007
2013-11-01,,,,,,1.007,1.007,1.007
2013-11-04,,,,,,1.007,1.007,1.007
2013-11-05,,,,,,1.007,1.007,1.007
2013-11-06,,,,,,1.008,1.008,1.008
2013-11-07,,,,,,1.008,1.008,1.008
2013-11-08,,,,,,1.008,1.008,1.008
2013-11-11,,,,,,1.008,1.008,1.008
2013-11-12,,,,,,1.008,1.008,1.008
2013-11-13,,,,,,1.008,1.008,1.008
2013-11-14,,,,,,1.008,1.008,1.008
2013-11-15,,,,,,1.008,1.008,1.008
2013-11-18,,,,,,1.009,1.009,1.009
2013-11-19,,,,,,1.009,1.009,1.009
2013-11-20,,,,,,1.009,1.009,1.009
2013-11-21,,,,,,1.009,1.009,1.009
2013-11-22,,,,,,1.009,1.009,1.009
2013-11-25,,,,,,1.01,1.01,1.01
2013-11-26,,,,,,1.01,1.01,1.01
2013-11-27,,,,,,1.011,1.011,1.011
2013-11-28,,,,,,1.01,1.01,1.01
2013-11-29,,,,,,1.01,1.01,1.01
2013-12-02,,,,,,1.01,1.01,1.01
2013-12-03,,,,,,1.011,1.011,1.011
2013-12-04,,,,,,1.01,1.01,1.01
2013-12-05,,,,,,1.011,1.011,1.011
2013-12-06,,,,,,1.011,1.011,1.011
2013-12-09,,,,,,1.012,1.012,1.012
2013-12-10,,,,,,1.012,1.012,1.012
