date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2020-10-30,,,,,,1.0031,1.0136,1.0031
2020-11-02,,,,,,1.0033,1.0138,1.0033
2020-11-03,,,,,,1.0035,1.014,1.0035
2020-11-04,,,,,,1.0036,1.0141,1.0036
2020-11-05,,,,,,1.0036,1.0141,1.0036
2020-11-06,,,,,,1.0035,1.014,1.0035
2020-11-09,,,,,,1.0035,1.014,1.0035
2020-11-10,,,,,,1.0036,1.0141,1.0036
2020-11-11,,,,,,1.0037,1.0142,1.0037
2020-11-12,,,,,,1.0036,1.0141,1.0036
2020-11-13,,,,,,1.0034,1.0139,1.0034
2020-11-16,,,,,,1.0036,1.0141,1.0036
2020-11-17,,,,,,1.0036,1.0141,1.0036
2020-11-18,,,,,,1.0033,1.0138,1.0033
2020-11-19,,,,,,1.003,1.0135,1.003
2020-11-20,,,,,,1.0029,1.0134,1.0029
2020-11-23,,,,,,1.0036,1.0141,1.0036
2020-11-24,,,,,,1.0035,1.014,1.0035
2020-11-25,,,,,,1.0038,1.0143,1.0038
2020-11-26,,,,,,1.004,1.0145,1.004
2020-11-27,,,,,,1.0041,1.0146,1.0041
2020-11-30,,,,,,1.005,1.0155,1.005
2020-12-01,,,,,,1.0051,1.0156,1.0051
2020-12-02,,,,,,1.005,1.0155,1.005
2020-12-03,,,,,,1.005,1.0155,1.005
2020-12-04,,,,,,1.0052,1.0157,1.0052
2020-12-07,,,,,,1.0055,1.016,1.0055
2020-12-08,,,,,,1.0059,1.0164,1.0059
2020-12-09,,,,,,1.0061,1.0166,1.0061
2020-12-10,,,,,,1.0064,1.0169,1.0064
2020-12-11,,,,,,1.0062,1.0167,1.0062
2020-12-14,,,,,,1.0065,1.017,1.0065
2020-12-15,,,,,,1.007,1.0175,1.007
2020-12-16,,,,,,1.0074,1.0179,1.0074
2020-12-17,,,,,,1.0076,1.0181,1.0076
2020-12-18,,,,,,1.0076,1.0181,1.0076
2020-12-21,,,,,,1.0083,1.0188,1.0083
2020-12-22,,,,,,1.0088,1.0193,1.0088
2020-12-23,,,,,,1.0089,1.0194,1.0089
2020-12-24,,,,,,1.0088,1.0193,1.0088
2020-12-25,,,,,,1.009,1.0195,1.009
2020-12-28,,,,,,1.0096,1.0201,1.0096
2020-12-29,,,,,,1.0099,1.0204,1.0099
2020-12-30,,,,,,1.0104,1.0209,1.0104
2020-12-31,,,,,,1.0106,1.0211,1.0106
2021-01-04,,,,,,1.0105,1.021,1.0105
2021-01-05,,,,,,1.0109,1.0214,1.0109
2021-01-06,,,,,,1.0112,1.0217,1.0112
2021-01-07,,,,,,1.0116,1.0221,1.0116
2021-01-08,,,,,,1.0117,1.0222,1.0117
2021-01-11,,,,,,1.0117,1.0222,1.0117
2021-01-12,,,,,,1.0119,1.0224,1.0119
2021-01-13,,,,,,1.0124,1.0229,1.0124
2021-01-14,,,,,,1.0124,1.0229,1.0124
2021-01-15,,,,,,1.0115,1.022,1.0115
2021-01-18,,,,,,1.0106,1.0211,1.0106
2021-01-19,,,,,,1.0105,1.021,1.0105
2021-01-20,,,,,,1.0109,1.0214,1.0109
2021-01-21,,,,,,1.0115,1.022,1.0115
2021-01-22,,,,,,1.0116,1.0221,1.0116
2021-01-25,,,,,,1.0114,1.0219,1.0114
2021-01-26,,,,,,1.0103,1.0208,1.0103
2021-01-27,,,,,,1.01,1.0205,1.01
2021-01-28,,,,,,1.0089,1.0194,1.0089
2021-01-29,,,,,,1.0092,1.0197,1.0092
2021-02-01,,,,,,1.01,1.0205,1.01
2021-02-02,,,,,,1.0101,1.0206,1.0101
2021-02-03,,,,,,1.0094,1.0199,1.0094
2021-02-04,,,,,,1.0088,1.0193,1.0088
2021-02-05,,,,,,1.0087,1.0192,1.0087
2021-02-08,,,,,,1.0088,1.0193,1.0088
2021-02-09,,,,,,1.0094,1.0199,1.0094
2021-02-10,,,,,,1.0097,1.0202,1.0097
2021-02-18,,,,,,1.0101,1.0206,1.0101
2021-02-19,,,,,,1.0107,1.0212,1.0107
2021-02-22,,,,,,1.0111,1.0216,1.0111
