date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2018-01-25,,,,,,1.0,1.0,1.0
2018-01-26,,,,,,1.0001,1.0001,1.0001
2018-01-29,,,,,,1.0001,1.0001,1.0001
2018-01-30,,,,,,1.0001,1.0001,1.0001
2018-01-31,,,,,,1.0001,1.0001,1.0001
2018-02-01,,,,,,1.0001,1.0001,1.0001
2018-02-02,,,,,,0.9999,0.9999,0.9999
2018-02-05,,,,,,0.9999,0.9999,0.9999
2018-02-06,,,,,,0.9999,0.9999,0.9999
2018-02-07,,,,,,0.9999,0.9999,0.9999
2018-02-08,,,,,,0.9999,0.9999,0.9999
2018-02-09,,,,,,1.0006,1.0006,1.0006
2018-02-12,,,,,,1.0006,1.0006,1.0006
2018-02-13,,,,,,1.0006,1.0006,1.0006
2018-02-14,,,,,,1.0014,1.0014,1.0014
2018-02-22,,,,,,1.0014,1.0014,1.0014
2018-02-23,,,,,,1.0023,1.0023,1.0023
2018-02-26,,,,,,1.0023,1.0023,1.0023
2018-02-27,,,,,,1.0023,1.0023,1.0023
2018-02-28,,,,,,1.0023,1.0023,1.0023
2018-03-01,,,,,,1.0023,1.0023,1.0023
2018-03-02,,,,,,1.0022,1.0022,1.0022
2018-03-05,,,,,,1.0022,1.0022,1.0022
2018-03-06,,,,,,1.0022,1.0022,1.0022
2018-03-07,,,,,,1.0022,1.0022,1.0022
2018-03-08,,,,,,1.0022,1.0022,1.0022
2018-03-09,,,,,,1.0032,1.0032,1.0032
2018-03-12,,,,,,1.0032,1.0032,1.0032
2018-03-13,,,,,,1.0032,1.0032,1.0032
2018-03-14,,,,,,1.0032,1.0032,1.0032
2018-03-15,,,,,,1.0032,1.0032,1.0032
2018-03-16,,,,,,1.0038,1.0038,1.0038
2018-03-19,,,,,,1.0038,1.0038,1.0038
2018-03-20,,,,,,1.0038,1.0038,1.0038
2018-03-21,,,,,,1.0038,1.0038,1.0038
2018-03-22,,,,,,1.0038,1.0038,1.0038
2018-03-23,,,,,,1.0065,1.0065,1.0065
2018-03-26,,,,,,1.0065,1.0065,1.0065
2018-03-27,,,,,,1.0065,1.0065,1.0065
2018-03-28,,,,,,1.0065,1.0065,1.0065
