date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2018-04-23,,,,,,1.0,1.0,1.0
2018-04-24,,,,,,1.0,1.0,1.0
2018-04-25,,,,,,1.0,1.0,1.0
2018-04-26,,,,,,1.0,1.0,1.0
2018-04-27,,,,,,1.0005,1.0005,1.0005
2018-05-02,,,,,,1.0005,1.0005,1.0005
2018-05-03,,,,,,1.0005,1.0005,1.0005
2018-05-04,,,,,,1.0009,1.0009,1.0009
2018-05-07,,,,,,1.0009,1.0009,1.0009
2018-05-08,,,,,,1.0009,1.0009,1.0009
2018-05-09,,,,,,1.0009,1.0009,1.0009
2018-05-10,,,,,,1.0009,1.0009,1.0009
2018-05-11,,,,,,1.002,1.002,1.002
2018-05-14,,,,,,1.002,1.002,1.002
2018-05-15,,,,,,1.002,1.002,1.002
2018-05-16,,,,,,1.002,1.002,1.002
2018-05-17,,,,,,1.002,1.002,1.002
2018-05-18,,,,,,1.0022,1.0022,1.0022
2018-05-21,,,,,,1.0022,1.0022,1.0022
2018-05-22,,,,,,1.0022,1.0022,1.0022
2018-05-23,,,,,,1.0022,1.0022,1.0022
2018-05-24,,,,,,1.0022,1.0022,1.0022
2018-05-25,,,,,,0.9991,0.9991,0.9991
2018-05-28,,,,,,0.9991,0.9991,0.9991
2018-05-29,,,,,,0.9991,0.9991,0.9991
2018-05-30,,,,,,0.9991,0.9991,0.9991
2018-05-31,,,,,,0.9991,0.9991,0.9991
2018-06-01,,,,,,0.9994,0.9994,0.9994
2018-06-04,,,,,,0.9994,0.9994,0.9994
2018-06-05,,,,,,0.9994,0.9994,0.9994
2018-06-06,,,,,,0.9994,0.9994,0.9994
2018-06-07,,,,,,0.9994,0.9994,0.9994
2018-06-08,,,,,,0.9977,0.9977,0.9977
2018-06-11,,,,,,0.9977,0.9977,0.9977
2018-06-12,,,,,,0.9977,0.9977,0.9977
2018-06-13,,,,,,0.9977,0.9977,0.9977
2018-06-14,,,,,,0.9977,0.9977,0.9977
2018-06-15,,,,,,0.9953,0.9953,0.9953
2018-06-19,,,,,,0.9894,0.9894,0.9894
2018-06-20,,,,,,0.9925,0.9925,0.9925
2018-06-21,,,,,,0.9904,0.9904,0.9904
2018-06-22,,,,,,0.9926,0.9926,0.9926
2018-06-25,,,,,,0.9907,0.9907,0.9907
2018-06-26,,,,,,0.9883,0.9883,0.9883
2018-06-27,,,,,,0.9817,0.9817,0.9817
2018-06-28,,,,,,0.9782,0.9782,0.9782
2018-06-29,,,,,,0.9878,0.9878,0.9878
2018-07-02,,,,,,0.9814,0.9814,0.9814
2018-07-03,,,,,,0.9782,0.9782,0.9782
2018-07-04,,,,,,0.9728,0.9728,0.9728
2018-07-05,,,,,,0.9688,0.9688,0.9688
2018-07-06,,,,,,0.9689,0.9689,0.9689
2018-07-09,,,,,,0.9821,0.9821,0.9821
2018-07-10,,,,,,0.9871,0.9871,0.9871
2018-07-11,,,,,,0.9808,0.9808,0.9808
2018-07-12,,,,,,0.9898,0.9898,0.9898
2018-07-13,,,,,,0.9923,0.9923,0.9923
2018-07-16,,,,,,0.9904,0.9904,0.9904
2018-07-17,,,,,,0.9862,0.9862,0.9862
2018-07-18,,,,,,0.985,0.985,0.985
2018-07-19,,,,,,0.9877,0.9877,0.9877
2018-07-20,,,,,,0.9939,0.9939,0.9939
2018-07-23,,,,,,0.9961,0.9961,0.9961
2018-07-24,,,,,,1.0009,1.0009,1.0009
2018-07-25,,,,,,1.0013,1.0013,1.0013
2018-07-26,,,,,,0.9955,0.9955,0.9955
2018-07-27,,,,,,0.9936,0.9936,0.9936
2018-07-30,,,,,,0.989,0.989,0.989
2018-07-31,,,,,,0.9872,0.9872,0.9872
2018-08-01,,,,,,0.9784,0.9784,0.9784
2018-08-02,,,,,,0.9688,0.9688,0.9688
2018-08-03,,,,,,0.96,0.96,0.96
2018-08-06,,,,,,0.9523,0.9523,0.9523
2018-08-07,,,,,,0.963,0.963,0.963
2018-08-08,,,,,,0.956,0.956,0.956
2018-08-09,,,,,,0.971,0.971,0.971
2018-08-10,,,,,,0.9696,0.9696,0.9696
2018-08-13,,,,,,0.969,0.969,0.969
2018-08-14,,,,,,0.9653,0.9653,0.9653
2018-08-15,,,,,,0.951,0.951,0.951
2018-08-16,,,,,,0.9493,0.9493,0.9493
2018-08-17,,,,,,0.9398,0.9398,0.9398
2018-08-20,,,,,,0.9446,0.9446,0.9446
2018-08-21,,,,,,0.9544,0.9544,0.9544
2018-08-22,,,,,,0.9507,0.9507,0.9507
2018-08-23,,,,,,0.9548,0.9548,0.9548
2018-08-24,,,,,,0.9543,0.9543,0.9543
2018-08-27,,,,,,0.967,0.967,0.967
2018-08-28,,,,,,0.967,0.967,0.967
2018-08-29,,,,,,0.961,0.961,0.961
2018-08-30,,,,,,0.9551,0.9551,0.9551
2018-08-31,,,,,,0.9476,0.9476,0.9476
2018-09-03,,,,,,0.945,0.945,0.945
2018-09-04,,,,,,0.9513,0.9513,0.9513
2018-09-05,,,,,,0.9449,0.9449,0.9449
2018-09-06,,,,,,0.9385,0.9385,0.9385
2018-09-07,,,,,,0.9472,0.9472,0.9472
