date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2014-08-26,,,,,,1.0,1.0,1.0
2014-08-27,,,,,,1.0,1.0,1.0
2014-08-28,,,,,,1.0,1.0,1.0
2014-08-29,,,,,,1.001,1.001,1.001
2014-09-01,,,,,,1.006,1.006,1.006
2014-09-02,,,,,,1.006,1.006,1.006
2014-09-03,,,,,,1.006,1.006,1.006
2014-09-04,,,,,,1.006,1.006,1.006
2014-09-05,,,,,,1.017,1.017,1.017
2014-09-09,,,,,,1.017,1.017,1.017
2014-09-10,,,,,,1.017,1.017,1.017
2014-09-11,,,,,,1.017,1.017,1.017
2014-09-12,,,,,,1.037,1.037,1.037
2014-09-15,,,,,,1.037,1.037,1.037
2014-09-16,,,,,,1.037,1.037,1.037
2014-09-17,,,,,,1.037,1.037,1.037
2014-09-18,,,,,,1.037,1.037,1.037
2014-09-19,,,,,,1.037,1.037,1.037
2014-09-22,,,,,,1.037,1.037,1.037
2014-09-23,,,,,,1.037,1.037,1.037
2014-09-24,,,,,,1.037,1.037,1.037
2014-09-25,,,,,,1.037,1.037,1.037
2014-09-26,,,,,,1.052,1.052,1.052
2014-09-29,,,,,,1.052,1.052,1.052
2014-09-30,,,,,,1.072,1.072,1.072
2014-10-08,,,,,,1.072,1.072,1.072
2014-10-09,,,,,,1.072,1.072,1.072
2014-10-10,,,,,,1.072,1.072,1.072
2014-10-13,,,,,,1.072,1.072,1.072
2014-10-14,,,,,,1.072,1.072,1.072
2014-10-15,,,,,,1.072,1.072,1.072
2014-10-16,,,,,,1.072,1.072,1.072
2014-10-17,,,,,,1.045,1.045,1.045
2014-10-20,,,,,,1.045,1.045,1.045
2014-10-21,,,,,,1.045,1.045,1.045
2014-10-22,,,,,,1.045,1.045,1.045
2014-10-23,,,,,,1.045,1.045,1.045
2014-10-24,,,,,,1.04,1.04,1.04
2014-10-27,,,,,,1.054,1.054,1.054
2014-10-28,,,,,,1.085,1.085,1.085
2014-10-29,,,,,,1.103,1.103,1.103
2014-10-30,,,,,,1.098,1.098,1.098
2014-10-31,,,,,,1.087,1.087,1.087
2014-11-03,,,,,,1.107,1.107,1.107
2014-11-04,,,,,,1.09,1.09,1.09
2014-11-05,,,,,,1.082,1.082,1.082
2014-11-06,,,,,,1.099,1.099,1.099
2014-11-07,,,,,,1.099,1.099,1.099
2014-11-10,,,,,,1.101,1.101,1.101
2014-11-11,,,,,,1.066,1.066,1.066
2014-11-12,,,,,,1.092,1.092,1.092
2014-11-13,,,,,,1.087,1.087,1.087
2014-11-14,,,,,,1.075,1.075,1.075
2014-11-17,,,,,,1.105,1.105,1.105
2014-11-18,,,,,,1.121,1.121,1.121
2014-11-19,,,,,,1.143,1.143,1.143
2014-11-20,,,,,,1.136,1.136,1.136
2014-11-21,,,,,,1.135,1.135,1.135
2014-11-24,,,,,,1.15,1.15,1.15
2014-11-25,,,,,,1.185,1.185,1.185
2014-11-26,,,,,,1.211,1.211,1.211
2014-11-27,,,,,,1.217,1.217,1.217
2014-11-28,,,,,,1.246,1.246,1.246
2014-12-01,,,,,,1.269,1.269,1.269
2014-12-02,,,,,,1.275,1.275,1.275
2014-12-03,,,,,,1.282,1.282,1.282
2014-12-04,,,,,,1.334,1.334,1.334
2014-12-05,,,,,,1.313,1.313,1.313
2014-12-08,,,,,,1.258,1.258,1.258
2014-12-09,,,,,,1.173,1.173,1.173
2014-12-10,,,,,,1.205,1.205,1.205
2014-12-11,,,,,,1.197,1.197,1.197
2014-12-12,,,,,,1.258,1.258,1.258
2014-12-15,,,,,,1.336,1.336,1.336
2014-12-16,,,,,,1.346,1.346,1.346
2014-12-17,,,,,,1.356,1.356,1.356
2014-12-18,,,,,,1.347,1.347,1.347
2014-12-19,,,,,,1.321,1.321,1.321
2014-12-22,,,,,,1.228,1.228,1.228
2014-12-23,,,,,,1.189,1.189,1.189
2014-12-24,,,,,,1.201,1.201,1.201
2014-12-25,,,,,,1.226,1.226,1.226
2014-12-26,,,,,,1.227,1.227,1.227
2014-12-29,,,,,,1.17,1.17,1.17
2014-12-30,,,,,,1.15,1.15,1.15
2014-12-31,,,,,,1.161,1.161,1.161
2015-01-05,,,,,,1.15,1.15,1.15
2015-01-06,,,,,,1.189,1.189,1.189
2015-01-07,,,,,,1.193,1.193,1.193
2015-01-08,,,,,,1.202,1.202,1.202
2015-01-09,,,,,,1.213,1.213,1.213
2015-01-12,,,,,,1.247,1.247,1.247
2015-01-13,,,,,,1.277,1.277,1.277
2015-01-14,,,,,,1.273,1.273,1.273
2015-01-15,,,,,,1.282,1.282,1.282
2015-01-16,,,,,,1.349,1.349,1.349
2015-01-19,,,,,,1.319,1.319,1.319
2015-01-20,,,,,,1.38,1.38,1.38
2015-01-21,,,,,,1.405,1.405,1.405
2015-01-22,,,,,,1.407,1.407,1.407
2015-01-23,,,,,,1.352,1.352,1.352
2015-01-26,,,,,,1.406,1.406,1.406
2015-01-27,,,,,,1.417,1.417,1.417
2015-01-28,,,,,,1.396,1.396,1.396
2015-01-29,,,,,,1.374,1.374,1.374
2015-01-30,,,,,,1.351,1.351,1.351
2015-02-02,,,,,,1.393,1.393,1.393
2015-02-03,,,,,,1.467,1.467,1.467
2015-02-04,,,,,,1.482,1.482,1.482
2015-02-05,,,,,,1.52,1.52,1.52
2015-02-06,,,,,,1.454,1.454,1.454
2015-02-09,,,,,,1.45,1.45,1.45
2015-02-10,,,,,,1.501,1.501,1.501
2015-02-11,,,,,,1.545,1.545,1.545
2015-02-12,,,,,,1.547,1.547,1.547
2015-02-13,,,,,,1.57,1.57,1.57
2015-02-16,,,,,,1.632,1.632,1.632
2015-02-17,,,,,,1.642,1.642,1.642
2015-02-25,,,,,,1.588,1.588,1.588
2015-02-26,,,,,,1.595,1.595,1.595
2015-02-27,,,,,,1.642,1.642,1.642
2015-03-02,,,,,,1.691,1.691,1.691
2015-03-03,,,,,,1.661,1.661,1.661
2015-03-04,,,,,,1.7,1.7,1.7
2015-03-05,,,,,,1.707,1.707,1.707
2015-03-06,,,,,,1.658,1.658,1.658
2015-03-09,,,,,,1.704,1.704,1.704
2015-03-10,,,,,,1.74,1.74,1.74
2015-03-11,,,,,,1.737,1.737,1.737
2015-03-12,,,,,,1.726,1.726,1.726
2015-03-13,,,,,,1.796,1.796,1.796
2015-03-16,,,,,,1.884,1.884,1.884
2015-03-17,,,,,,1.881,1.881,1.881
2015-03-18,,,,,,1.909,1.909,1.909
2015-03-19,,,,,,1.911,1.911,1.911
2015-03-20,,,,,,1.985,1.985,1.985
2015-03-23,,,,,,2.08,2.08,2.08
2015-03-24,,,,,,2.167,2.167,2.167
2015-03-25,,,,,,2.188,2.188,2.188
2015-03-26,,,,,,2.093,2.093,2.093
2015-03-27,,,,,,2.131,2.131,2.131
2015-03-30,,,,,,2.035,2.035,2.035
2015-03-31,,,,,,2.104,2.104,2.104
2015-04-01,,,,,,2.156,2.156,2.156
2015-04-02,,,,,,2.216,2.216,2.216
2015-04-03,,,,,,2.253,2.253,2.253
2015-04-07,,,,,,2.295,2.295,2.295
2015-04-08,,,,,,2.257,2.257,2.257
2015-04-09,,,,,,2.286,2.286,2.286
2015-04-10,,,,,,2.35,2.35,2.35
2015-04-13,,,,,,2.406,2.406,2.406
2015-04-14,,,,,,2.4,2.4,2.4
2015-04-15,,,,,,2.231,2.231,2.231
2015-04-16,,,,,,2.253,2.253,2.253
2015-04-17,,,,,,2.221,2.221,2.221
2015-04-20,,,,,,2.152,2.152,2.152
2015-04-21,,,,,,2.293,2.293,2.293
2015-04-22,,,,,,2.4,2.4,2.4
2015-04-23,,,,,,2.461,2.461,2.461
2015-04-24,,,,,,2.475,2.475,2.475
2015-04-27,,,,,,2.488,2.488,2.488
2015-04-28,,,,,,2.42,2.42,2.42
2015-04-29,,,,,,2.529,2.529,2.529
2015-04-30,,,,,,2.683,2.683,2.683
2015-05-04,,,,,,2.643,2.643,2.643
2015-05-05,,,,,,2.58,2.58,2.58
2015-05-06,,,,,,2.7,2.7,2.7
2015-05-07,,,,,,2.774,2.774,2.774
2015-05-08,,,,,,2.971,2.971,2.971
2015-05-11,,,,,,3.193,3.193,3.193
2015-05-12,,,,,,3.399,3.399,3.399
2015-05-13,,,,,,3.339,3.339,3.339
2015-05-14,,,,,,3.189,3.189,3.189
2015-05-15,,,,,,3.242,3.242,3.242
2015-05-18,,,,,,3.388,3.388,3.388
2015-05-19,,,,,,3.397,3.397,3.397
2015-05-20,,,,,,3.455,3.455,3.455
