date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2019-06-12,,,,,,1.0,1.0,1.0
2019-06-13,,,,,,1.0,1.0,1.0
2019-06-14,,,,,,1.0001,1.0001,1.0001
2019-06-17,,,,,,1.0001,1.0001,1.0001
2019-06-18,,,,,,1.0001,1.0001,1.0001
2019-06-19,,,,,,1.0001,1.0001,1.0001
2019-06-20,,,,,,1.0001,1.0001,1.0001
2019-06-21,,,,,,1.0011,1.0011,1.0011
2019-06-24,,,,,,1.0011,1.0011,1.0011
2019-06-25,,,,,,1.0011,1.0011,1.0011
2019-06-26,,,,,,1.0011,1.0011,1.0011
2019-06-27,,,,,,1.0011,1.0011,1.0011
2019-06-28,,,,,,1.0024,1.0024,1.0024
2019-07-01,,,,,,1.0029,1.0029,1.0029
2019-07-02,,,,,,1.0029,1.0029,1.0029
2019-07-03,,,,,,1.0029,1.0029,1.0029
2019-07-04,,,,,,1.0029,1.0029,1.0029
2019-07-05,,,,,,1.0043,1.0043,1.0043
2019-07-08,,,,,,1.0043,1.0043,1.0043
2019-07-09,,,,,,1.0043,1.0043,1.0043
2019-07-10,,,,,,1.0043,1.0043,1.0043
2019-07-11,,,,,,1.0043,1.0043,1.0043
2019-07-12,,,,,,1.0048,1.0048,1.0048
2019-07-15,,,,,,1.005,1.005,1.005
2019-07-16,,,,,,1.0051,1.0051,1.0051
2019-07-17,,,,,,1.0052,1.0052,1.0052
2019-07-18,,,,,,1.0051,1.0051,1.0051
2019-07-19,,,,,,1.0052,1.0052,1.0052
2019-07-22,,,,,,1.0056,1.0056,1.0056
2019-07-23,,,,,,1.0058,1.0058,1.0058
2019-07-24,,,,,,1.0059,1.0059,1.0059
2019-07-25,,,,,,1.006,1.006,1.006
2019-07-26,,,,,,1.0061,1.0061,1.0061
2019-07-29,,,,,,1.0063,1.0063,1.0063
2019-07-30,,,,,,1.0065,1.0065,1.0065
2019-07-31,,,,,,1.0067,1.0067,1.0067
2019-08-01,,,,,,1.0068,1.0068,1.0068
2019-08-02,,,,,,1.0071,1.0071,1.0071
2019-08-05,,,,,,1.0074,1.0074,1.0074
2019-08-06,,,,,,1.0078,1.0078,1.0078
2019-08-07,,,,,,1.008,1.008,1.008
2019-08-08,,,,,,1.0082,1.0082,1.0082
2019-08-09,,,,,,1.0083,1.0083,1.0083
2019-08-12,,,,,,1.0086,1.0086,1.0086
2019-08-13,,,,,,1.0088,1.0088,1.0088
2019-08-14,,,,,,1.0089,1.0089,1.0089
2019-08-15,,,,,,1.0091,1.0091,1.0091
2019-08-16,,,,,,1.0092,1.0092,1.0092
2019-08-19,,,,,,1.0095,1.0095,1.0095
2019-08-20,,,,,,1.0096,1.0096,1.0096
2019-08-21,,,,,,1.0097,1.0097,1.0097
2019-08-22,,,,,,1.0102,1.0102,1.0102
2019-08-23,,,,,,1.01,1.01,1.01
2019-08-26,,,,,,1.0107,1.0107,1.0107
2019-08-27,,,,,,1.0107,1.0107,1.0107
2019-08-28,,,,,,1.0108,1.0108,1.0108
2019-08-29,,,,,,1.0109,1.0109,1.0109
2019-08-30,,,,,,1.0109,1.0109,1.0109
2019-09-02,,,,,,1.0111,1.0111,1.0111
2019-09-03,,,,,,1.0112,1.0112,1.0112
2019-09-04,,,,,,1.0113,1.0113,1.0113
2019-09-05,,,,,,1.0114,1.0114,1.0114
2019-09-06,,,,,,1.0114,1.0114,1.0114
2019-09-09,,,,,,1.0119,1.0119,1.0119
2019-09-10,,,,,,1.012,1.012,1.012
2019-09-11,,,,,,1.012,1.012,1.012
2019-09-12,,,,,,1.0121,1.0121,1.0121
2019-09-16,,,,,,1.0125,1.0125,1.0125
2019-09-17,,,,,,1.0125,1.0125,1.0125
2019-09-18,,,,,,1.0126,1.0126,1.0126
2019-09-19,,,,,,1.0127,1.0127,1.0127
2019-09-20,,,,,,1.0128,1.0128,1.0128
2019-09-23,,,,,,1.013,1.013,1.013
2019-09-24,,,,,,1.0132,1.0132,1.0132
2019-09-25,,,,,,1.0133,1.0133,1.0133
2019-09-26,,,,,,1.0134,1.0134,1.0134
2019-09-27,,,,,,1.0136,1.0136,1.0136
2019-09-30,,,,,,1.0138,1.0138,1.0138
2019-10-08,,,,,,1.0145,1.0145,1.0145
2019-10-09,,,,,,1.0147,1.0147,1.0147
2019-10-10,,,,,,1.0149,1.0149,1.0149
2019-10-11,,,,,,1.015,1.015,1.015
2019-10-14,,,,,,1.0154,1.0154,1.0154
2019-10-15,,,,,,1.0155,1.0155,1.0155
2019-10-16,,,,,,1.0156,1.0156,1.0156
2019-10-17,,,,,,1.0157,1.0157,1.0157
2019-10-18,,,,,,1.0158,1.0158,1.0158
2019-10-21,,,,,,1.0162,1.0162,1.0162
2019-10-22,,,,,,1.0162,1.0162,1.0162
2019-10-23,,,,,,1.0163,1.0163,1.0163
2019-10-24,,,,,,1.0165,1.0165,1.0165
2019-10-25,,,,,,1.0166,1.0166,1.0166
2019-10-28,,,,,,1.0168,1.0168,1.0168
2019-10-29,,,,,,1.0168,1.0168,1.0168
2019-10-30,,,,,,1.0167,1.0167,1.0167
2019-10-31,,,,,,1.0164,1.0164,1.0164
2019-11-01,,,,,,1.0164,1.0164,1.0164
2019-11-04,,,,,,1.0166,1.0166,1.0166
2019-11-05,,,,,,1.0167,1.0167,1.0167
2019-11-06,,,,,,1.0167,1.0167,1.0167
2019-11-07,,,,,,1.0169,1.0169,1.0169
2019-11-08,,,,,,1.017,1.017,1.017
2019-11-11,,,,,,1.0173,1.0173,1.0173
2019-11-12,,,,,,1.0174,1.0174,1.0174
2019-11-13,,,,,,1.0174,1.0174,1.0174
2019-11-14,,,,,,1.0173,1.0173,1.0173
2019-11-15,,,,,,1.0173,1.0173,1.0173
2019-11-18,,,,,,1.0176,1.0176,1.0176
2019-11-19,,,,,,1.0177,1.0177,1.0177
2019-11-20,,,,,,1.0169,1.0169,1.0169
2019-11-21,,,,,,1.0169,1.0169,1.0169
2019-11-22,,,,,,1.0169,1.0169,1.0169
2019-11-25,,,,,,1.0173,1.0173,1.0173
2019-11-26,,,,,,1.0174,1.0174,1.0174
2019-11-27,,,,,,1.0175,1.0175,1.0175
2019-11-28,,,,,,1.0175,1.0175,1.0175
2019-11-29,,,,,,1.0176,1.0176,1.0176
2019-12-02,,,,,,1.0179,1.0179,1.0179
2019-12-03,,,,,,1.0181,1.0181,1.0181
2019-12-04,,,,,,1.0182,1.0182,1.0182
2019-12-05,,,,,,1.0184,1.0184,1.0184
2019-12-06,,,,,,1.0184,1.0184,1.0184
2019-12-09,,,,,,1.0187,1.0187,1.0187
2019-12-10,,,,,,1.0188,1.0188,1.0188
2019-12-11,,,,,,1.0189,1.0189,1.0189
2019-12-12,,,,,,1.019,1.019,1.019
2019-12-13,,,,,,1.0191,1.0191,1.0191
2019-12-16,,,,,,1.0196,1.0196,1.0196
2019-12-17,,,,,,1.0196,1.0196,1.0196
2019-12-18,,,,,,1.0197,1.0197,1.0197
2019-12-19,,,,,,1.0197,1.0197,1.0197
2019-12-20,,,,,,1.0198,1.0198,1.0198
2019-12-23,,,,,,1.0203,1.0203,1.0203
2019-12-24,,,,,,1.0204,1.0204,1.0204
2019-12-25,,,,,,1.0206,1.0206,1.0206
