date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2014-12-08,,,,,,1.0,1.0,1.0
2014-12-09,,,,,,1.0,1.0,1.0
2014-12-10,,,,,,1.0,1.0,1.0
2014-12-11,,,,,,1.0,1.0,1.0
2014-12-12,,,,,,0.997,0.997,0.997
2014-12-15,,,,,,0.997,0.997,0.997
2014-12-16,,,,,,0.997,0.997,0.997
2014-12-17,,,,,,0.997,0.997,0.997
2014-12-18,,,,,,0.997,0.997,0.997
2014-12-19,,,,,,1.002,1.002,1.002
2014-12-22,,,,,,1.002,1.002,1.002
2014-12-23,,,,,,1.002,1.002,1.002
2014-12-24,,,,,,1.002,1.002,1.002
2014-12-25,,,,,,1.002,1.002,1.002
2014-12-26,,,,,,0.989,0.989,0.989
2014-12-29,,,,,,0.989,0.989,0.989
2014-12-30,,,,,,0.989,0.989,0.989
2014-12-31,,,,,,0.987,0.987,0.987
2015-01-05,,,,,,0.987,0.987,0.987
2015-01-06,,,,,,0.987,0.987,0.987
2015-01-07,,,,,,0.987,0.987,0.987
2015-01-08,,,,,,0.987,0.987,0.987
2015-01-09,,,,,,0.993,0.993,0.993
2015-01-12,,,,,,0.993,0.993,0.993
2015-01-13,,,,,,0.993,0.993,0.993
2015-01-14,,,,,,0.993,0.993,0.993
2015-01-15,,,,,,0.993,0.993,0.993
2015-01-16,,,,,,1.034,1.034,1.034
2015-01-19,,,,,,1.034,1.034,1.034
2015-01-20,,,,,,1.034,1.034,1.034
2015-01-21,,,,,,1.034,1.034,1.034
2015-01-22,,,,,,1.034,1.034,1.034
2015-01-23,,,,,,1.035,1.035,1.035
2015-01-26,,,,,,1.035,1.035,1.035
2015-01-27,,,,,,1.035,1.035,1.035
2015-01-28,,,,,,1.035,1.035,1.035
2015-01-29,,,,,,1.035,1.035,1.035
2015-01-30,,,,,,1.02,1.02,1.02
2015-02-02,,,,,,1.02,1.02,1.02
2015-02-03,,,,,,1.02,1.02,1.02
2015-02-04,,,,,,1.02,1.02,1.02
2015-02-05,,,,,,1.02,1.02,1.02
2015-02-06,,,,,,1.043,1.043,1.043
2015-02-09,,,,,,1.043,1.043,1.043
2015-02-10,,,,,,1.043,1.043,1.043
2015-02-11,,,,,,1.043,1.043,1.043
2015-02-12,,,,,,1.043,1.043,1.043
2015-02-13,,,,,,1.096,1.096,1.096
2015-02-16,,,,,,1.134,1.134,1.134
2015-02-17,,,,,,1.137,1.137,1.137
