date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2018-12-13,,,,,,1.0,1.0,1.0
2018-12-14,,,,,,1.0002,1.0002,1.0002
2018-12-17,,,,,,1.0002,1.0002,1.0002
2018-12-18,,,,,,1.0002,1.0002,1.0002
2018-12-19,,,,,,1.0002,1.0002,1.0002
2018-12-20,,,,,,1.0002,1.0002,1.0002
2018-12-21,,,,,,1.0008,1.0008,1.0008
2018-12-24,,,,,,1.0008,1.0008,1.0008
2018-12-25,,,,,,1.0008,1.0008,1.0008
2018-12-26,,,,,,1.0008,1.0008,1.0008
2018-12-27,,,,,,1.0008,1.0008,1.0008
2018-12-28,,,,,,1.0019,1.0019,1.0019
2019-01-02,,,,,,1.0024,1.0024,1.0024
2019-01-03,,,,,,1.0024,1.0024,1.0024
2019-01-04,,,,,,1.0035,1.0035,1.0035
2019-01-07,,,,,,1.0035,1.0035,1.0035
2019-01-08,,,,,,1.0035,1.0035,1.0035
2019-01-09,,,,,,1.0035,1.0035,1.0035
2019-01-10,,,,,,1.0035,1.0035,1.0035
2019-01-11,,,,,,1.0047,1.0047,1.0047
2019-01-14,,,,,,1.0047,1.0047,1.0047
2019-01-15,,,,,,1.0047,1.0047,1.0047
2019-01-16,,,,,,1.0047,1.0047,1.0047
2019-01-17,,,,,,1.0047,1.0047,1.0047
2019-01-18,,,,,,1.0055,1.0055,1.0055
2019-01-21,,,,,,1.0057,1.0057,1.0057
2019-01-22,,,,,,1.0057,1.0057,1.0057
2019-01-23,,,,,,1.0057,1.0057,1.0057
2019-01-24,,,,,,1.0056,1.0056,1.0056
2019-01-25,,,,,,1.0056,1.0056,1.0056
2019-01-28,,,,,,1.0058,1.0058,1.0058
2019-01-29,,,,,,1.006,1.006,1.006
2019-01-30,,,,,,1.0063,1.0063,1.0063
2019-01-31,,,,,,1.0066,1.0066,1.0066
2019-02-01,,,,,,1.0069,1.0069,1.0069
2019-02-11,,,,,,1.0079,1.0079,1.0079
2019-02-12,,,,,,1.0083,1.0083,1.0083
2019-02-13,,,,,,1.0086,1.0086,1.0086
2019-02-14,,,,,,1.0089,1.0089,1.0089
2019-02-15,,,,,,1.0088,1.0088,1.0088
2019-02-18,,,,,,1.0094,1.0094,1.0094
2019-02-19,,,,,,1.0094,1.0094,1.0094
2019-02-20,,,,,,1.0097,1.0097,1.0097
2019-02-21,,,,,,1.0099,1.0099,1.0099
2019-02-22,,,,,,1.0099,1.0099,1.0099
2019-02-25,,,,,,1.0101,1.0101,1.0101
2019-02-26,,,,,,1.0097,1.0097,1.0097
2019-02-27,,,,,,1.0097,1.0097,1.0097
2019-02-28,,,,,,1.0102,1.0102,1.0102
2019-03-01,,,,,,1.0099,1.0099,1.0099
2019-03-04,,,,,,1.01,1.01,1.01
2019-03-05,,,,,,1.0099,1.0099,1.0099
2019-03-06,,,,,,1.01,1.01,1.01
2019-03-07,,,,,,1.0102,1.0102,1.0102
2019-03-08,,,,,,1.0103,1.0103,1.0103
2019-03-11,,,,,,1.0106,1.0106,1.0106
2019-03-12,,,,,,1.0106,1.0106,1.0106
2019-03-13,,,,,,1.0106,1.0106,1.0106
2019-03-14,,,,,,1.0106,1.0106,1.0106
2019-03-15,,,,,,1.0106,1.0106,1.0106
2019-03-18,,,,,,1.0108,1.0108,1.0108
2019-03-19,,,,,,1.0109,1.0109,1.0109
2019-03-20,,,,,,1.011,1.011,1.011
2019-03-21,,,,,,1.0111,1.0111,1.0111
2019-03-22,,,,,,1.0114,1.0114,1.0114
2019-03-25,,,,,,1.0118,1.0118,1.0118
2019-03-26,,,,,,1.0121,1.0121,1.0121
2019-03-27,,,,,,1.0124,1.0124,1.0124
2019-03-28,,,,,,1.0127,1.0127,1.0127
2019-03-29,,,,,,1.0128,1.0128,1.0128
2019-04-01,,,,,,1.0133,1.0133,1.0133
2019-04-02,,,,,,1.0131,1.0131,1.0131
2019-04-03,,,,,,1.0133,1.0133,1.0133
2019-04-04,,,,,,1.0133,1.0133,1.0133
2019-04-08,,,,,,1.0137,1.0137,1.0137
2019-04-09,,,,,,1.0137,1.0137,1.0137
2019-04-10,,,,,,1.0136,1.0136,1.0136
2019-04-11,,,,,,1.0136,1.0136,1.0136
2019-04-12,,,,,,1.014,1.014,1.014
2019-04-15,,,,,,1.0139,1.0139,1.0139
2019-04-16,,,,,,1.0138,1.0138,1.0138
2019-04-17,,,,,,1.0139,1.0139,1.0139
2019-04-18,,,,,,1.014,1.014,1.014
2019-04-19,,,,,,1.0142,1.0142,1.0142
2019-04-22,,,,,,1.0144,1.0144,1.0144
2019-04-23,,,,,,1.0143,1.0143,1.0143
2019-04-24,,,,,,1.0141,1.0141,1.0141
2019-04-25,,,,,,1.014,1.014,1.014
2019-04-26,,,,,,1.014,1.014,1.014
2019-04-29,,,,,,1.0139,1.0139,1.0139
2019-04-30,,,,,,1.0141,1.0141,1.0141
2019-05-06,,,,,,1.015,1.015,1.015
2019-05-07,,,,,,1.0152,1.0152,1.0152
2019-05-08,,,,,,1.0154,1.0154,1.0154
2019-05-09,,,,,,1.0156,1.0156,1.0156
2019-05-10,,,,,,1.0157,1.0157,1.0157
2019-05-13,,,,,,1.016,1.016,1.016
2019-05-14,,,,,,1.016,1.016,1.016
2019-05-15,,,,,,1.0161,1.0161,1.0161
2019-05-16,,,,,,1.0162,1.0162,1.0162
2019-05-17,,,,,,1.0164,1.0164,1.0164
2019-05-20,,,,,,1.0167,1.0167,1.0167
2019-05-21,,,,,,1.0168,1.0168,1.0168
2019-05-22,,,,,,1.0169,1.0169,1.0169
2019-05-23,,,,,,1.017,1.017,1.017
2019-05-24,,,,,,1.0171,1.0171,1.0171
2019-05-27,,,,,,1.0173,1.0173,1.0173
2019-05-28,,,,,,1.0172,1.0172,1.0172
2019-05-29,,,,,,1.0173,1.0173,1.0173
2019-05-30,,,,,,1.0175,1.0175,1.0175
2019-05-31,,,,,,1.0176,1.0176,1.0176
2019-06-03,,,,,,1.0179,1.0179,1.0179
2019-06-04,,,,,,1.0179,1.0179,1.0179
2019-06-05,,,,,,1.018,1.018,1.018
2019-06-06,,,,,,1.018,1.018,1.018
2019-06-10,,,,,,1.0183,1.0183,1.0183
2019-06-11,,,,,,1.0184,1.0184,1.0184
2019-06-12,,,,,,1.0184,1.0184,1.0184
2019-06-13,,,,,,1.0184,1.0184,1.0184
2019-06-14,,,,,,1.0184,1.0184,1.0184
2019-06-17,,,,,,1.0188,1.0188,1.0188
2019-06-18,,,,,,1.0191,1.0191,1.0191
2019-06-19,,,,,,1.0195,1.0195,1.0195
2019-06-20,,,,,,1.0197,1.0197,1.0197
2019-06-21,,,,,,1.0198,1.0198,1.0198
