date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2014-09-16,,,,,,1.0,1.0,1.0
2014-09-17,,,,,,1.0,1.0,1.0
2014-09-18,,,,,,1.0,1.0,1.0
2014-09-19,,,,,,1.003,1.003,1.003
2014-09-22,,,,,,1.003,1.003,1.003
2014-09-23,,,,,,1.003,1.003,1.003
2014-09-24,,,,,,1.003,1.003,1.003
2014-09-25,,,,,,1.003,1.003,1.003
2014-09-26,,,,,,1.01,1.01,1.01
2014-09-29,,,,,,1.01,1.01,1.01
2014-09-30,,,,,,1.018,1.018,1.018
2014-10-08,,,,,,1.018,1.018,1.018
2014-10-09,,,,,,1.018,1.018,1.018
2014-10-10,,,,,,1.029,1.029,1.029
2014-10-13,,,,,,1.029,1.029,1.029
2014-10-14,,,,,,1.029,1.029,1.029
2014-10-15,,,,,,1.029,1.029,1.029
2014-10-16,,,,,,1.029,1.029,1.029
2014-10-17,,,,,,1.004,1.004,1.004
2014-10-20,,,,,,1.004,1.004,1.004
2014-10-21,,,,,,1.004,1.004,1.004
2014-10-22,,,,,,1.004,1.004,1.004
2014-10-23,,,,,,1.004,1.004,1.004
2014-10-24,,,,,,0.992,0.992,0.992
2014-10-27,,,,,,0.992,0.992,0.992
2014-10-28,,,,,,0.992,0.992,0.992
2014-10-29,,,,,,0.992,0.992,0.992
2014-10-30,,,,,,0.992,0.992,0.992
2014-10-31,,,,,,1.016,1.016,1.016
2014-11-03,,,,,,1.016,1.016,1.016
2014-11-04,,,,,,1.016,1.016,1.016
2014-11-05,,,,,,1.016,1.016,1.016
2014-11-06,,,,,,1.016,1.016,1.016
2014-11-07,,,,,,1.025,1.025,1.025
2014-11-10,,,,,,1.025,1.025,1.025
2014-11-11,,,,,,1.025,1.025,1.025
2014-11-12,,,,,,1.025,1.025,1.025
2014-11-13,,,,,,1.025,1.025,1.025
2014-11-14,,,,,,1.004,1.004,1.004
2014-11-17,,,,,,1.013,1.013,1.013
2014-11-18,,,,,,1.012,1.012,1.012
2014-11-19,,,,,,1.014,1.014,1.014
2014-11-20,,,,,,1.019,1.019,1.019
2014-11-21,,,,,,1.025,1.025,1.025
2014-11-24,,,,,,1.035,1.035,1.035
2014-11-25,,,,,,1.05,1.05,1.05
2014-11-26,,,,,,1.059,1.059,1.059
2014-11-27,,,,,,1.065,1.065,1.065
2014-11-28,,,,,,1.056,1.056,1.056
2014-12-01,,,,,,1.04,1.04,1.04
2014-12-02,,,,,,1.065,1.065,1.065
2014-12-03,,,,,,1.077,1.077,1.077
2014-12-04,,,,,,1.086,1.086,1.086
2014-12-05,,,,,,1.05,1.05,1.05
2014-12-08,,,,,,1.06,1.06,1.06
2014-12-09,,,,,,1.015,1.015,1.015
2014-12-10,,,,,,1.067,1.067,1.067
2014-12-11,,,,,,1.087,1.087,1.087
2014-12-12,,,,,,1.096,1.096,1.096
2014-12-15,,,,,,1.107,1.107,1.107
2014-12-16,,,,,,1.103,1.103,1.103
2014-12-17,,,,,,1.084,1.084,1.084
2014-12-18,,,,,,1.087,1.087,1.087
2014-12-19,,,,,,1.077,1.077,1.077
2014-12-22,,,,,,1.046,1.046,1.046
2014-12-23,,,,,,1.025,1.025,1.025
2014-12-24,,,,,,1.048,1.048,1.048
2014-12-25,,,,,,1.061,1.061,1.061
2014-12-26,,,,,,1.064,1.064,1.064
2014-12-29,,,,,,1.043,1.043,1.043
2014-12-30,,,,,,1.014,1.014,1.014
2014-12-31,,,,,,1.022,1.022,1.022
2015-01-05,,,,,,1.037,1.037,1.037
2015-01-06,,,,,,1.061,1.061,1.061
2015-01-07,,,,,,1.054,1.054,1.054
2015-01-08,,,,,,1.055,1.055,1.055
2015-01-09,,,,,,1.046,1.046,1.046
2015-01-12,,,,,,1.038,1.038,1.038
2015-01-13,,,,,,1.045,1.045,1.045
2015-01-14,,,,,,1.04,1.04,1.04
2015-01-15,,,,,,1.049,1.049,1.049
2015-01-16,,,,,,1.06,1.06,1.06
2015-01-19,,,,,,1.029,1.029,1.029
2015-01-20,,,,,,1.063,1.063,1.063
2015-01-21,,,,,,1.094,1.094,1.094
2015-01-22,,,,,,1.103,1.103,1.103
2015-01-23,,,,,,1.105,1.105,1.105
2015-01-26,,,,,,1.116,1.116,1.116
2015-01-27,,,,,,1.109,1.109,1.109
2015-01-28,,,,,,1.096,1.096,1.096
2015-01-29,,,,,,1.098,1.098,1.098
2015-01-30,,,,,,1.097,1.097,1.097
2015-02-02,,,,,,1.089,1.089,1.089
2015-02-03,,,,,,1.106,1.106,1.106
2015-02-04,,,,,,1.104,1.104,1.104
2015-02-05,,,,,,1.094,1.094,1.094
2015-02-06,,,,,,1.076,1.076,1.076
