date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2013-06-14,,,,,,1.0,1.0,1.0
2013-06-17,,,,,,1.0,1.0,1.0
2013-06-18,,,,,,1.0,1.0,1.0
2013-06-19,,,,,,1.0,1.0,1.0
2013-06-20,,,,,,1.0,1.0,1.0
2013-06-21,,,,,,1.001,1.001,1.001
2013-06-24,,,,,,1.001,1.001,1.001
2013-06-25,,,,,,1.001,1.001,1.001
2013-06-26,,,,,,1.001,1.001,1.001
2013-06-27,,,,,,1.001,1.001,1.001
2013-06-28,,,,,,1.003,1.003,1.003
2013-07-01,,,,,,1.003,1.003,1.003
2013-07-02,,,,,,1.003,1.003,1.003
2013-07-03,,,,,,1.003,1.003,1.003
2013-07-04,,,,,,1.003,1.003,1.003
2013-07-05,,,,,,1.005,1.005,1.005
2013-07-08,,,,,,1.005,1.005,1.005
2013-07-09,,,,,,1.005,1.005,1.005
2013-07-10,,,,,,1.005,1.005,1.005
2013-07-11,,,,,,1.005,1.005,1.005
2013-07-12,,,,,,1.006,1.006,1.006
2013-07-15,,,,,,1.006,1.006,1.006
2013-07-16,,,,,,1.006,1.006,1.006
2013-07-17,,,,,,1.006,1.006,1.006
2013-07-18,,,,,,1.006,1.006,1.006
2013-07-19,,,,,,1.007,1.007,1.007
2013-07-22,,,,,,1.007,1.007,1.007
2013-07-23,,,,,,1.007,1.007,1.007
2013-07-24,,,,,,1.007,1.007,1.007
2013-07-25,,,,,,1.007,1.007,1.007
2013-07-26,,,,,,1.009,1.009,1.009
2013-07-29,,,,,,1.009,1.009,1.009
2013-07-30,,,,,,1.009,1.009,1.009
2013-07-31,,,,,,1.009,1.009,1.009
2013-08-01,,,,,,1.01,1.01,1.01
2013-08-02,,,,,,1.01,1.01,1.01
2013-08-05,,,,,,1.01,1.01,1.01
2013-08-06,,,,,,1.01,1.01,1.01
2013-08-07,,,,,,1.01,1.01,1.01
2013-08-08,,,,,,1.011,1.011,1.011
2013-08-09,,,,,,1.011,1.011,1.011
2013-08-12,,,,,,1.012,1.012,1.012
2013-08-13,,,,,,1.012,1.012,1.012
2013-08-14,,,,,,1.012,1.012,1.012
2013-08-15,,,,,,1.012,1.012,1.012
2013-08-16,,,,,,1.011,1.011,1.011
2013-08-19,,,,,,1.012,1.012,1.012
2013-08-20,,,,,,1.012,1.012,1.012
2013-08-21,,,,,,1.011,1.011,1.011
2013-08-22,,,,,,1.011,1.011,1.011
2013-08-23,,,,,,1.011,1.011,1.011
2013-08-26,,,,,,1.012,1.012,1.012
2013-08-27,,,,,,1.012,1.012,1.012
2013-08-28,,,,,,1.012,1.012,1.012
2013-08-29,,,,,,1.013,1.013,1.013
2013-08-30,,,,,,1.013,1.013,1.013
2013-09-02,,,,,,1.013,1.013,1.013
2013-09-03,,,,,,1.014,1.014,1.014
2013-09-04,,,,,,1.014,1.014,1.014
2013-09-05,,,,,,1.014,1.014,1.014
2013-09-06,,,,,,1.014,1.014,1.014
2013-09-09,,,,,,1.017,1.017,1.017
2013-09-10,,,,,,1.018,1.018,1.018
2013-09-11,,,,,,1.018,1.018,1.018
2013-09-12,,,,,,1.019,1.019,1.019
2013-09-13,,,,,,1.018,1.018,1.018
2013-09-16,,,,,,1.018,1.018,1.018
2013-09-17,,,,,,1.017,1.017,1.017
2013-09-18,,,,,,1.017,1.017,1.017
2013-09-23,,,,,,1.018,1.018,1.018
2013-09-24,,,,,,1.017,1.017,1.017
2013-09-25,,,,,,1.017,1.017,1.017
2013-09-26,,,,,,1.016,1.016,1.016
2013-09-27,,,,,,1.016,1.016,1.016
2013-09-30,,,,,,1.016,1.016,1.016
2013-10-08,,,,,,1.018,1.018,1.018
2013-10-09,,,,,,1.018,1.018,1.018
2013-10-10,,,,,,1.018,1.018,1.018
2013-10-11,,,,,,1.018,1.018,1.018
2013-10-14,,,,,,1.019,1.019,1.019
2013-10-15,,,,,,1.019,1.019,1.019
2013-10-16,,,,,,1.019,1.019,1.019
2013-10-17,,,,,,1.018,1.018,1.018
2013-10-18,,,,,,1.018,1.018,1.018
2013-10-21,,,,,,1.019,1.019,1.019
2013-10-22,,,,,,1.019,1.019,1.019
2013-10-23,,,,,,1.019,1.019,1.019
2013-10-24,,,,,,1.019,1.019,1.019
2013-10-25,,,,,,1.018,1.018,1.018
2013-10-28,,,,,,1.018,1.018,1.018
2013-10-29,,,,,,1.018,1.018,1.018
2013-10-30,,,,,,1.02,1.02,1.02
2013-10-31,,,,,,1.02,1.02,1.02
2013-11-01,,,,,,1.02,1.02,1.02
2013-11-04,,,,,,1.021,1.021,1.021
2013-11-05,,,,,,1.02,1.02,1.02
2013-11-06,,,,,,1.02,1.02,1.02
2013-11-07,,,,,,1.02,1.02,1.02
2013-11-08,,,,,,1.019,1.019,1.019
2013-11-11,,,,,,1.019,1.019,1.019
2013-11-12,,,,,,1.02,1.02,1.02
2013-11-13,,,,,,1.018,1.018,1.018
2013-11-14,,,,,,1.018,1.018,1.018
2013-11-15,,,,,,1.017,1.017,1.017
2013-11-18,,,,,,1.019,1.019,1.019
2013-11-19,,,,,,1.019,1.019,1.019
2013-11-20,,,,,,1.02,1.02,1.02
2013-11-21,,,,,,1.021,1.021,1.021
2013-11-22,,,,,,1.02,1.02,1.02
2013-11-25,,,,,,1.019,1.019,1.019
2013-11-26,,,,,,1.019,1.019,1.019
2013-11-27,,,,,,1.02,1.02,1.02
2013-11-28,,,,,,1.02,1.02,1.02
2013-11-29,,,,,,1.019,1.019,1.019
2013-12-02,,,,,,1.018,1.018,1.018
