date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2020-07-08,,,,,,1.0,1.0,1.0
2020-07-09,,,,,,1.0,1.0,1.0
2020-07-10,,,,,,1.0006,1.0006,1.0006
2020-07-13,,,,,,1.0006,1.0006,1.0006
2020-07-14,,,,,,1.0006,1.0006,1.0006
2020-07-15,,,,,,1.0006,1.0006,1.0006
2020-07-16,,,,,,1.0006,1.0006,1.0006
2020-07-17,,,,,,0.9955,0.9955,0.9955
2020-07-20,,,,,,0.9955,0.9955,0.9955
2020-07-21,,,,,,0.9955,0.9955,0.9955
2020-07-22,,,,,,0.9955,0.9955,0.9955
2020-07-23,,,,,,0.9955,0.9955,0.9955
2020-07-24,,,,,,0.9917,0.9917,0.9917
2020-07-27,,,,,,0.9917,0.9917,0.9917
2020-07-28,,,,,,0.9917,0.9917,0.9917
2020-07-29,,,,,,0.9917,0.9917,0.9917
2020-07-30,,,,,,0.9917,0.9917,0.9917
2020-07-31,,,,,,1.0128,1.0128,1.0128
2020-08-03,,,,,,1.0128,1.0128,1.0128
2020-08-04,,,,,,1.0128,1.0128,1.0128
2020-08-05,,,,,,1.0128,1.0128,1.0128
2020-08-06,,,,,,1.0128,1.0128,1.0128
2020-08-07,,,,,,1.0066,1.0066,1.0066
2020-08-10,,,,,,1.0066,1.0066,1.0066
2020-08-11,,,,,,1.0066,1.0066,1.0066
2020-08-12,,,,,,1.0066,1.0066,1.0066
2020-08-13,,,,,,1.0066,1.0066,1.0066
2020-08-14,,,,,,0.999,0.999,0.999
2020-08-17,,,,,,0.999,0.999,0.999
2020-08-18,,,,,,0.999,0.999,0.999
2020-08-19,,,,,,0.999,0.999,0.999
2020-08-20,,,,,,0.999,0.999,0.999
2020-08-21,,,,,,1.0077,1.0077,1.0077
2020-08-24,,,,,,1.0077,1.0077,1.0077
2020-08-25,,,,,,1.0077,1.0077,1.0077
2020-08-26,,,,,,1.0077,1.0077,1.0077
2020-08-27,,,,,,1.0077,1.0077,1.0077
2020-08-28,,,,,,1.0534,1.0534,1.0534
2020-08-31,,,,,,1.0534,1.0534,1.0534
2020-09-01,,,,,,1.0534,1.0534,1.0534
2020-09-02,,,,,,1.0534,1.0534,1.0534
2020-09-03,,,,,,1.0534,1.0534,1.0534
2020-09-04,,,,,,1.0394,1.0394,1.0394
2020-09-07,,,,,,1.0394,1.0394,1.0394
2020-09-08,,,,,,1.0394,1.0394,1.0394
2020-09-09,,,,,,1.0394,1.0394,1.0394
2020-09-10,,,,,,1.0394,1.0394,1.0394
2020-09-11,,,,,,1.0161,1.0161,1.0161
2020-09-14,,,,,,1.0161,1.0161,1.0161
2020-09-15,,,,,,1.0161,1.0161,1.0161
2020-09-16,,,,,,1.0161,1.0161,1.0161
2020-09-17,,,,,,1.0161,1.0161,1.0161
2020-09-18,,,,,,1.0167,1.0167,1.0167
2020-09-21,,,,,,1.0167,1.0167,1.0167
2020-09-22,,,,,,1.0167,1.0167,1.0167
2020-09-23,,,,,,1.0167,1.0167,1.0167
2020-09-24,,,,,,1.0167,1.0167,1.0167
2020-09-25,,,,,,1.0044,1.0044,1.0044
2020-09-28,,,,,,1.0044,1.0044,1.0044
2020-09-29,,,,,,1.0044,1.0044,1.0044
2020-09-30,,,,,,1.0157,1.0157,1.0157
2020-10-09,,,,,,1.0345,1.0345,1.0345
2020-10-12,,,,,,1.0535,1.0535,1.0535
2020-10-13,,,,,,1.0572,1.0572,1.0572
2020-10-14,,,,,,1.0577,1.0577,1.0577
2020-10-15,,,,,,1.0508,1.0508,1.0508
2020-10-16,,,,,,1.0479,1.0479,1.0479
2020-10-19,,,,,,1.0337,1.0337,1.0337
2020-10-20,,,,,,1.048,1.048,1.048
2020-10-21,,,,,,1.0491,1.0491,1.0491
2020-10-22,,,,,,1.0443,1.0443,1.0443
2020-10-23,,,,,,1.0251,1.0251,1.0251
2020-10-26,,,,,,1.0259,1.0259,1.0259
2020-10-27,,,,,,1.0368,1.0368,1.0368
2020-10-28,,,,,,1.0557,1.0557,1.0557
2020-10-29,,,,,,1.0748,1.0748,1.0748
2020-10-30,,,,,,1.0513,1.0513,1.0513
2020-11-02,,,,,,1.0555,1.0555,1.0555
2020-11-03,,,,,,1.06,1.06,1.06
2020-11-04,,,,,,1.07,1.07,1.07
2020-11-05,,,,,,1.0835,1.0835,1.0835
2020-11-06,,,,,,1.0705,1.0705,1.0705
2020-11-09,,,,,,1.0827,1.0827,1.0827
2020-11-10,,,,,,1.0747,1.0747,1.0747
2020-11-11,,,,,,1.0555,1.0555,1.0555
2020-11-12,,,,,,1.0693,1.0693,1.0693
