date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2021-10-20,,,,,,1.0,1.0,1.0
2021-10-21,,,,,,1.0,1.0,1.0
2021-10-22,,,,,,1.0001,1.0001,1.0001
2021-10-25,,,,,,1.0001,1.0001,1.0001
2021-10-26,,,,,,1.0001,1.0001,1.0001
2021-10-27,,,,,,1.0001,1.0001,1.0001
2021-10-28,,,,,,1.0001,1.0001,1.0001
2021-10-29,,,,,,1.0005,1.0005,1.0005
2021-11-01,,,,,,1.0005,1.0005,1.0005
2021-11-02,,,,,,1.0005,1.0005,1.0005
2021-11-03,,,,,,1.0005,1.0005,1.0005
2021-11-04,,,,,,1.0005,1.0005,1.0005
2021-11-05,,,,,,1.0014,1.0014,1.0014
2021-11-08,,,,,,1.0018,1.0018,1.0018
2021-11-09,,,,,,1.0017,1.0017,1.0017
2021-11-10,,,,,,1.0018,1.0018,1.0018
2021-11-11,,,,,,1.0019,1.0019,1.0019
2021-11-12,,,,,,1.0021,1.0021,1.0021
2021-11-15,,,,,,1.0025,1.0025,1.0025
2021-11-16,,,,,,1.0026,1.0026,1.0026
2021-11-17,,,,,,1.0028,1.0028,1.0028
2021-11-18,,,,,,1.003,1.003,1.003
2021-11-19,,,,,,1.0032,1.0032,1.0032
2021-11-22,,,,,,1.0036,1.0036,1.0036
2021-11-23,,,,,,1.0038,1.0038,1.0038
2021-11-24,,,,,,1.0041,1.0041,1.0041
2021-11-25,,,,,,1.0041,1.0041,1.0041
2021-11-26,,,,,,1.0043,1.0043,1.0043
2021-11-29,,,,,,1.0047,1.0047,1.0047
2021-11-30,,,,,,1.0049,1.0049,1.0049
2021-12-01,,,,,,1.0051,1.0051,1.0051
2021-12-02,,,,,,1.0052,1.0052,1.0052
2021-12-03,,,,,,1.0053,1.0053,1.0053
2021-12-06,,,,,,1.006,1.006,1.006
2021-12-07,,,,,,1.0062,1.0062,1.0062
2021-12-08,,,,,,1.0064,1.0064,1.0064
2021-12-09,,,,,,1.0066,1.0066,1.0066
2021-12-10,,,,,,1.0069,1.0069,1.0069
2021-12-13,,,,,,1.0073,1.0073,1.0073
2021-12-14,,,,,,1.0075,1.0075,1.0075
2021-12-15,,,,,,1.0075,1.0075,1.0075
2021-12-16,,,,,,1.0076,1.0076,1.0076
2021-12-17,,,,,,1.0077,1.0077,1.0077
2021-12-20,,,,,,1.0078,1.0078,1.0078
2021-12-21,,,,,,1.0076,1.0076,1.0076
2021-12-22,,,,,,1.0076,1.0076,1.0076
2021-12-23,,,,,,1.0079,1.0079,1.0079
2021-12-24,,,,,,1.0081,1.0081,1.0081
2021-12-27,,,,,,1.0085,1.0085,1.0085
