date,NAV,NAV_ACC,NAV_ADJ,OPEN,HIGH,LOW,CLOSE,PCT_CHG
2009-06-15,1.249,1.249,1.249,,,,,
2009-06-16,1.244,1.244,1.244,,,,,
2009-06-17,1.271,1.271,1.271,,,,,
2009-06-18,1.289,1.289,1.289,,,,,
2009-06-19,1.297,1.297,1.297,,,,,
2009-06-22,1.29,1.29,1.29,,,,,
2009-06-23,1.296,1.296,1.296,,,,,
2009-06-24,1.305,1.305,1.305,,,,,
2009-06-25,1.314,1.314,1.314,,,,,
2009-06-26,1.332,1.332,1.332,,,,,
2009-06-29,1.362,1.362,1.362,,,,,
2009-06-30,1.362,1.362,1.362,,,,,
2009-07-01,1.394,1.394,1.394,,,,,
2009-07-02,1.414,1.414,1.414,,,,,
2009-07-03,1.447,1.447,1.447,,,,,
2009-07-06,1.46,1.46,1.46,,,,,
2009-07-07,1.441,1.441,1.441,,,,,
2009-07-08,1.455,1.455,1.455,,,,,
2009-07-09,1.469,1.469,1.469,,,,,
2009-07-10,1.476,1.476,1.476,,,,,
2009-07-13,1.458,1.458,1.458,,,,,
2009-07-14,1.502,1.502,1.502,,,,,
2009-07-15,1.513,1.513,1.513,,,,,
2009-07-16,1.523,1.523,1.523,,,,,
2009-07-17,1.528,1.528,1.528,,,,,
2009-07-20,1.557,1.557,1.557,,,,,
2009-07-21,1.543,1.543,1.543,,,,,
2009-07-22,1.567,1.567,1.567,,,,,
2009-07-23,1.585,1.585,1.585,,,,,
2009-07-24,1.583,1.583,1.583,,,,,
2009-07-27,1.604,1.604,1.604,,,,,
2009-07-28,1.607,1.607,1.607,,,,,
2009-07-29,1.53,1.53,1.53,,,,,
2009-07-30,1.552,1.552,1.552,,,,,
2009-07-31,1.588,1.588,1.588,,,,,
2009-08-03,1.616,1.616,1.616,,,,,
2009-08-04,1.622,1.622,1.622,,,,,
2009-08-05,1.586,1.586,1.586,,,,,
2009-08-06,1.554,1.554,1.554,,,,,
