date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
2017-03-13,,,,,,1.0,1.0,1.0
2017-03-14,,,,,,1.0,1.0,1.0
2017-03-15,,,,,,1.0,1.0,1.0
2017-03-16,,,,,,1.0001,1.0001,1.0001
2017-03-17,,,,,,1.0002,1.0002,1.0002
2017-03-20,,,,,,1.0004,1.0004,1.0004
2017-03-21,,,,,,1.0005,1.0005,1.0005
2017-03-22,,,,,,1.0005,1.0005,1.0005
2017-03-23,,,,,,1.0006,1.0006,1.0006
2017-03-24,,,,,,1.0008,1.0008,1.0008
2017-03-27,,,,,,1.0009,1.0009,1.0009
2017-03-28,,,,,,1.001,1.001,1.001
2017-03-29,,,,,,1.0011,1.0011,1.0011
2017-03-30,,,,,,1.0013,1.0013,1.0013
2017-03-31,,,,,,1.0014,1.0014,1.0014
2017-04-05,,,,,,1.0021,1.0021,1.0021
2017-04-06,,,,,,1.0022,1.0022,1.0022
2017-04-07,,,,,,1.0023,1.0023,1.0023
2017-04-10,,,,,,1.0026,1.0026,1.0026
2017-04-11,,,,,,1.0026,1.0026,1.0026
2017-04-12,,,,,,1.0027,1.0027,1.0027
2017-04-13,,,,,,1.0028,1.0028,1.0028
2017-04-14,,,,,,1.0028,1.0028,1.0028
2017-04-17,,,,,,1.0028,1.0028,1.0028
2017-04-18,,,,,,1.0028,1.0028,1.0028
2017-04-19,,,,,,1.0028,1.0028,1.0028
2017-04-20,,,,,,1.0028,1.0028,1.0028
2017-04-21,,,,,,1.0028,1.0028,1.0028
2017-04-24,,,,,,1.0028,1.0028,1.0028
2017-04-25,,,,,,1.0029,1.0029,1.0029
2017-04-26,,,,,,1.0029,1.0029,1.0029
2017-04-27,,,,,,1.003,1.003,1.003
2017-04-28,,,,,,1.0033,1.0033,1.0033
2017-05-02,,,,,,1.0034,1.0034,1.0034
2017-05-03,,,,,,1.0033,1.0033,1.0033
2017-05-04,,,,,,1.0029,1.0029,1.0029
2017-05-05,,,,,,1.0029,1.0029,1.0029
2017-05-08,,,,,,1.0028,1.0028,1.0028
2017-05-09,,,,,,1.0023,1.0023,1.0023
2017-05-10,,,,,,1.0016,1.0016,1.0016
2017-05-11,,,,,,1.0009,1.0009,1.0009
2017-05-12,,,,,,1.0004,1.0004,1.0004
2017-05-15,,,,,,1.0006,1.0006,1.0006
2017-05-16,,,,,,1.0006,1.0006,1.0006
2017-05-17,,,,,,1.0007,1.0007,1.0007
2017-05-18,,,,,,1.0009,1.0009,1.0009
2017-05-19,,,,,,1.0011,1.0011,1.0011
2017-05-22,,,,,,1.0011,1.0011,1.0011
2017-05-23,,,,,,1.001,1.001,1.001
2017-05-24,,,,,,1.0011,1.0011,1.0011
2017-05-25,,,,,,1.0014,1.0014,1.0014
2017-05-26,,,,,,1.0015,1.0015,1.0015
2017-05-31,,,,,,1.002,1.002,1.002
2017-06-01,,,,,,1.0023,1.0023,1.0023
2017-06-02,,,,,,1.0024,1.0024,1.0024
2017-06-05,,,,,,1.0027,1.0027,1.0027
2017-06-06,,,,,,1.0026,1.0026,1.0026
2017-06-07,,,,,,1.0027,1.0027,1.0027
2017-06-08,,,,,,1.0028,1.0028,1.0028
2017-06-09,,,,,,1.003,1.003,1.003
2017-06-12,,,,,,1.0037,1.0037,1.0037
2017-06-13,,,,,,1.0043,1.0043,1.0043
2017-06-14,,,,,,1.0045,1.0045,1.0045
2017-06-15,,,,,,1.0048,1.0048,1.0048
2017-06-16,,,,,,1.0047,1.0047,1.0047
2017-06-19,,,,,,1.0058,1.0058,1.0058
2017-06-20,,,,,,1.0069,1.0069,1.0069
2017-06-21,,,,,,1.0068,1.0068,1.0068
