,date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
0,2014-08-26,,,,1.0,,1.0,1.0,1.0
1,2014-08-27,,,,1.0,,1.0,1.0,1.0
2,2014-08-28,,,,1.0,,1.0,1.0,1.0
3,2014-08-29,,,,1.001,,1.001,1.001,1.001
4,2014-09-01,,,,1.006,,1.006,1.006,1.006
5,2014-09-02,,,,1.006,,1.006,1.006,1.006
6,2014-09-03,,,,1.006,,1.006,1.006,1.006
7,2014-09-04,,,,1.006,,1.006,1.006,1.006
8,2014-09-05,,,,1.0170000000000001,,1.0170000000000001,1.0170000000000001,1.0170000000000001
9,2014-09-09,,,,1.0170000000000001,,1.0170000000000001,1.0170000000000001,1.0170000000000001
10,2014-09-10,,,,1.0170000000000001,,1.0170000000000001,1.0170000000000001,1.0170000000000001
11,2014-09-11,,,,1.0170000000000001,,1.0170000000000001,1.0170000000000001,1.0170000000000001
12,2014-09-12,,,,1.037,,1.037,1.037,1.037
13,2014-09-15,,,,1.037,,1.037,1.037,1.037
14,2014-09-16,,,,1.037,,1.037,1.037,1.037
15,2014-09-17,,,,1.037,,1.037,1.037,1.037
16,2014-09-18,,,,1.037,,1.037,1.037,1.037
17,2014-09-19,,,,1.037,,1.037,1.037,1.037
18,2014-09-22,,,,1.037,,1.037,1.037,1.037
19,2014-09-23,,,,1.037,,1.037,1.037,1.037
20,2014-09-24,,,,1.037,,1.037,1.037,1.037
21,2014-09-25,,,,1.037,,1.037,1.037,1.037
22,2014-09-26,,,,1.052,,1.052,1.052,1.052
23,2014-09-29,,,,1.052,,1.052,1.052,1.052
24,2014-09-30,,,,1.072,,1.072,1.072,1.072
25,2014-10-08,,,,1.072,,1.072,1.072,1.072
26,2014-10-09,,,,1.072,,1.072,1.072,1.072
27,2014-10-10,,,,1.072,,1.072,1.072,1.072
28,2014-10-13,,,,1.072,,1.072,1.072,1.072
29,2014-10-14,,,,1.072,,1.072,1.072,1.072
30,2014-10-15,,,,1.072,,1.072,1.072,1.072
31,2014-10-16,,,,1.072,,1.072,1.072,1.072
32,2014-10-17,,,,1.045,,1.045,1.045,1.045
33,2014-10-20,,,,1.045,,1.045,1.045,1.045
34,2014-10-21,,,,1.045,,1.045,1.045,1.045
35,2014-10-22,,,,1.045,,1.045,1.045,1.045
36,2014-10-23,,,,1.045,,1.045,1.045,1.045
37,2014-10-24,,,,1.04,,1.04,1.04,1.04
38,2014-10-27,,,,1.054,,1.054,1.054,1.054
39,2014-10-28,,,,1.085,,1.085,1.085,1.085
40,2014-10-29,,,,1.103,,1.103,1.103,1.103
41,2014-10-30,,,,1.0979999999999999,,1.0979999999999999,1.0979999999999999,1.0979999999999999
42,2014-10-31,,,,1.087,,1.087,1.087,1.087
43,2014-11-03,,,,1.107,,1.107,1.107,1.107
44,2014-11-04,,,,1.09,,1.09,1.09,1.09
45,2014-11-05,,,,1.082,,1.082,1.082,1.082
46,2014-11-06,,,,1.099,,1.099,1.099,1.099
47,2014-11-07,,,,1.099,,1.099,1.099,1.099
48,2014-11-10,,,,1.101,,1.101,1.101,1.101
49,2014-11-11,,,,1.0659999999999998,,1.0659999999999998,1.0659999999999998,1.0659999999999998
50,2014-11-12,,,,1.092,,1.092,1.092,1.092
51,2014-11-13,,,,1.087,,1.087,1.087,1.087
