,date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
0,2019-02-22,,,,1.0,,1.0,1.0,1.0
1,2019-02-25,,,,1.0,,1.0,1.0,1.0
2,2019-02-26,,,,1.0,,1.0,1.0,1.0
3,2019-02-27,,,,1.0,,1.0,1.0,1.0
4,2019-02-28,,,,1.0,,1.0,1.0,1.0
5,2019-03-01,,,,1.0002,,1.0002,1.0002,1.0002
6,2019-03-04,,,,1.0002,,1.0002,1.0002,1.0002
7,2019-03-05,,,,1.0002,,1.0002,1.0002,1.0002
8,2019-03-06,,,,1.0002,,1.0002,1.0002,1.0002
9,2019-03-07,,,,1.0002,,1.0002,1.0002,1.0002
10,2019-03-08,,,,1.0006,,1.0006,1.0006,1.0006
11,2019-03-11,,,,1.0006,,1.0006,1.0006,1.0006
12,2019-03-12,,,,1.0006,,1.0006,1.0006,1.0006
13,2019-03-13,,,,1.0006,,1.0006,1.0006,1.0006
14,2019-03-14,,,,1.0006,,1.0006,1.0006,1.0006
15,2019-03-15,,,,1.0009,,1.0009,1.0009,1.0009
16,2019-03-18,,,,1.0009,,1.0009,1.0009,1.0009
17,2019-03-19,,,,1.0009,,1.0009,1.0009,1.0009
18,2019-03-20,,,,1.0009,,1.0009,1.0009,1.0009
19,2019-03-21,,,,1.0009,,1.0009,1.0009,1.0009
20,2019-03-22,,,,1.0013,,1.0013,1.0013,1.0013
21,2019-03-25,,,,1.0014,,1.0014,1.0014,1.0014
22,2019-03-26,,,,1.0015,,1.0015,1.0015,1.0015
23,2019-03-27,,,,1.0016,,1.0016,1.0016,1.0016
24,2019-03-28,,,,1.0015,,1.0015,1.0015,1.0015
25,2019-03-29,,,,1.0017,,1.0017,1.0017,1.0017
26,2019-04-01,,,,1.0019,,1.0019,1.0019,1.0019
27,2019-04-02,,,,1.0017,,1.0017,1.0017,1.0017
28,2019-04-03,,,,1.0016,,1.0016,1.0016,1.0016
29,2019-04-04,,,,1.0014,,1.0014,1.0014,1.0014
30,2019-04-08,,,,1.0015,,1.0015,1.0015,1.0015
31,2019-04-09,,,,1.0013,,1.0013,1.0013,1.0013
32,2019-04-10,,,,1.001,,1.001,1.001,1.001
33,2019-04-11,,,,1.001,,1.001,1.001,1.001
34,2019-04-12,,,,1.0012,,1.0012,1.0012,1.0012
35,2019-04-15,,,,1.0007,,1.0007,1.0007,1.0007
36,2019-04-16,,,,1.0001,,1.0001,1.0001,1.0001
37,2019-04-17,,,,0.9999,,0.9999,0.9999,0.9999
38,2019-04-18,,,,0.9998,,0.9998,0.9998,0.9998
39,2019-04-19,,,,1.0003,,1.0003,1.0003,1.0003
40,2019-04-22,,,,1.0007,,1.0007,1.0007,1.0007
41,2019-04-23,,,,1.0004,,1.0004,1.0004,1.0004
42,2019-04-24,,,,1.0006,,1.0006,1.0006,1.0006
43,2019-04-25,,,,1.0005,,1.0005,1.0005,1.0005
44,2019-04-26,,,,1.0007,,1.0007,1.0007,1.0007
45,2019-04-29,,,,1.0006,,1.0006,1.0006,1.0006
46,2019-04-30,,,,1.0012,,1.0012,1.0012,1.0012
47,2019-05-06,,,,1.003,,1.003,1.003,1.003
48,2019-05-07,,,,1.0036,,1.0036,1.0036,1.0036
49,2019-05-08,,,,1.0041,,1.0041,1.0041,1.0041
50,2019-05-09,,,,1.0049,,1.0049,1.0049,1.0049
51,2019-05-10,,,,1.0055,,1.0055,1.0055,1.0055
