,date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
0,2020-11-06,,,,1.0,,1.0,1.0,1.0
1,2020-11-09,,,,1.0,,1.0,1.0,1.0
2,2020-11-10,,,,1.0,,1.0,1.0,1.0
3,2020-11-11,,,,1.0,,1.0,1.0,1.0
4,2020-11-12,,,,1.0,,1.0,1.0,1.0
5,2020-11-13,,,,1.0003,,1.0003,1.0003,1.0003
6,2020-11-16,,,,1.0003,,1.0003,1.0003,1.0003
7,2020-11-17,,,,1.0003,,1.0003,1.0003,1.0003
8,2020-11-18,,,,1.0003,,1.0003,1.0003,1.0003
9,2020-11-19,,,,1.0003,,1.0003,1.0003,1.0003
10,2020-11-20,,,,1.0008,,1.0008,1.0008,1.0008
11,2020-11-23,,,,1.0008,,1.0008,1.0008,1.0008
12,2020-11-24,,,,1.0008,,1.0008,1.0008,1.0008
13,2020-11-25,,,,1.0008,,1.0008,1.0008,1.0008
14,2020-11-26,,,,1.0008,,1.0008,1.0008,1.0008
15,2020-11-27,,,,1.0014,,1.0014,1.0014,1.0014
16,2020-11-30,,,,1.0014,,1.0014,1.0014,1.0014
17,2020-12-01,,,,1.0014,,1.0014,1.0014,1.0014
18,2020-12-02,,,,1.0014,,1.0014,1.0014,1.0014
19,2020-12-03,,,,1.0014,,1.0014,1.0014,1.0014
20,2020-12-04,,,,1.002,,1.002,1.002,1.002
21,2020-12-07,,,,1.002,,1.002,1.002,1.002
22,2020-12-08,,,,1.002,,1.002,1.002,1.002
23,2020-12-09,,,,1.002,,1.002,1.002,1.002
24,2020-12-10,,,,1.002,,1.002,1.002,1.002
25,2020-12-11,,,,1.0026,,1.0026,1.0026,1.0026
26,2020-12-14,,,,1.0026,,1.0026,1.0026,1.0026
27,2020-12-15,,,,1.0026,,1.0026,1.0026,1.0026
28,2020-12-16,,,,1.0026,,1.0026,1.0026,1.0026
29,2020-12-17,,,,1.0026,,1.0026,1.0026,1.0026
30,2020-12-18,,,,1.0033,,1.0033,1.0033,1.0033
31,2020-12-21,,,,1.0033,,1.0033,1.0033,1.0033
32,2020-12-22,,,,1.0033,,1.0033,1.0033,1.0033
33,2020-12-23,,,,1.0033,,1.0033,1.0033,1.0033
34,2020-12-24,,,,1.0033,,1.0033,1.0033,1.0033
35,2020-12-25,,,,1.0039,,1.0039,1.0039,1.0039
36,2020-12-28,,,,1.0039,,1.0039,1.0039,1.0039
37,2020-12-29,,,,1.0039,,1.0039,1.0039,1.0039
38,2020-12-30,,,,1.0039,,1.0039,1.0039,1.0039
39,2020-12-31,,,,1.0045,,1.0045,1.0045,1.0045
40,2021-01-04,,,,1.0045,,1.0045,1.0045,1.0045
41,2021-01-05,,,,1.0045,,1.0045,1.0045,1.0045
42,2021-01-06,,,,1.0045,,1.0045,1.0045,1.0045
43,2021-01-07,,,,1.0045,,1.0045,1.0045,1.0045
44,2021-01-08,,,,1.0052,,1.0052,1.0052,1.0052
45,2021-01-11,,,,1.0052,,1.0052,1.0052,1.0052
46,2021-01-12,,,,1.0052,,1.0052,1.0052,1.0052
47,2021-01-13,,,,1.0052,,1.0052,1.0052,1.0052
48,2021-01-14,,,,1.0052,,1.0052,1.0052,1.0052
49,2021-01-15,,,,1.0059,,1.0059,1.0059,1.0059
50,2021-01-18,,,,1.0059,,1.0059,1.0059,1.0059
51,2021-01-19,,,,1.0059,,1.0059,1.0059,1.0059
52,2021-01-20,,,,1.0059,,1.0059,1.0059,1.0059
53,2021-01-21,,,,1.0059,,1.0059,1.0059,1.0059
54,2021-01-22,,,,1.0065,,1.0065,1.0065,1.0065
55,2021-01-25,,,,1.0065,,1.0065,1.0065,1.0065
56,2021-01-26,,,,1.0065,,1.0065,1.0065,1.0065
57,2021-01-27,,,,1.0065,,1.0065,1.0065,1.0065
58,2021-01-28,,,,1.0065,,1.0065,1.0065,1.0065
59,2021-01-29,,,,1.0071,,1.0071,1.0071,1.0071
60,2021-02-01,,,,1.0071,,1.0071,1.0071,1.0071
61,2021-02-02,,,,1.0071,,1.0071,1.0071,1.0071
62,2021-02-03,,,,1.0071,,1.0071,1.0071,1.0071
63,2021-02-04,,,,1.0071,,1.0071,1.0071,1.0071
64,2021-02-05,,,,1.0077,,1.0077,1.0077,1.0077
65,2021-02-08,,,,1.0077,,1.0077,1.0077,1.0077
66,2021-02-09,,,,1.0077,,1.0077,1.0077,1.0077
67,2021-02-10,,,,1.0082,,1.0082,1.0082,1.0082
68,2021-02-18,,,,1.0082,,1.0082,1.0082,1.0082
69,2021-02-19,,,,1.0090000000000001,,1.0090000000000001,1.0090000000000001,1.0090000000000001
70,2021-02-22,,,,1.0090000000000001,,1.0090000000000001,1.0090000000000001,1.0090000000000001
71,2021-02-23,,,,1.0090000000000001,,1.0090000000000001,1.0090000000000001,1.0090000000000001
72,2021-02-24,,,,1.0090000000000001,,1.0090000000000001,1.0090000000000001,1.0090000000000001
73,2021-02-25,,,,1.0090000000000001,,1.0090000000000001,1.0090000000000001,1.0090000000000001
74,2021-02-26,,,,1.0097,,1.0097,1.0097,1.0097
75,2021-03-01,,,,1.0097,,1.0097,1.0097,1.0097
76,2021-03-02,,,,1.0097,,1.0097,1.0097,1.0097
77,2021-03-03,,,,1.0097,,1.0097,1.0097,1.0097
78,2021-03-04,,,,1.0097,,1.0097,1.0097,1.0097
79,2021-03-05,,,,1.0104,,1.0104,1.0104,1.0104
80,2021-03-08,,,,1.0104,,1.0104,1.0104,1.0104
81,2021-03-09,,,,1.0104,,1.0104,1.0104,1.0104
82,2021-03-10,,,,1.0104,,1.0104,1.0104,1.0104
83,2021-03-11,,,,1.0104,,1.0104,1.0104,1.0104
84,2021-03-12,,,,1.0111,,1.0111,1.0111,1.0111
