,date,OPEN,HIGH,LOW,CLOSE,PCT_CHG,NAV,NAV_ACC,NAV_ADJ
0,2021-10-20,,,,1.0,,1.0,1.0,1.0
1,2021-10-21,,,,1.0,,1.0,1.0,1.0
2,2021-10-22,,,,1.0001,,1.0001,1.0001,1.0001
3,2021-10-25,,,,1.0001,,1.0001,1.0001,1.0001
4,2021-10-26,,,,1.0001,,1.0001,1.0001,1.0001
5,2021-10-27,,,,1.0001,,1.0001,1.0001,1.0001
6,2021-10-28,,,,1.0001,,1.0001,1.0001,1.0001
7,2021-10-29,,,,1.0005,,1.0005,1.0005,1.0005
8,2021-11-01,,,,1.0005,,1.0005,1.0005,1.0005
9,2021-11-02,,,,1.0005,,1.0005,1.0005,1.0005
10,2021-11-03,,,,1.0005,,1.0005,1.0005,1.0005
11,2021-11-04,,,,1.0005,,1.0005,1.0005,1.0005
12,2021-11-05,,,,1.0014,,1.0014,1.0014,1.0014
13,2021-11-08,,,,1.0018,,1.0018,1.0018,1.0018
14,2021-11-09,,,,1.0017,,1.0017,1.0017,1.0017
15,2021-11-10,,,,1.0018,,1.0018,1.0018,1.0018
16,2021-11-11,,,,1.0019,,1.0019,1.0019,1.0019
17,2021-11-12,,,,1.0021,,1.0021,1.0021,1.0021
18,2021-11-15,,,,1.0025,,1.0025,1.0025,1.0025
19,2021-11-16,,,,1.0026,,1.0026,1.0026,1.0026
20,2021-11-17,,,,1.0028,,1.0028,1.0028,1.0028
21,2021-11-18,,,,1.003,,1.003,1.003,1.003
22,2021-11-19,,,,1.0032,,1.0032,1.0032,1.0032
23,2021-11-22,,,,1.0036,,1.0036,1.0036,1.0036
24,2021-11-23,,,,1.0038,,1.0038,1.0038,1.0038
25,2021-11-24,,,,1.0041,,1.0041,1.0041,1.0041
26,2021-11-25,,,,1.0041,,1.0041,1.0041,1.0041
27,2021-11-26,,,,1.0043,,1.0043,1.0043,1.0043
28,2021-11-29,,,,1.0047,,1.0047,1.0047,1.0047
29,2021-11-30,,,,1.0049,,1.0049,1.0049,1.0049
30,2021-12-01,,,,1.0051,,1.0051,1.0051,1.0051
31,2021-12-02,,,,1.0052,,1.0052,1.0052,1.0052
32,2021-12-03,,,,1.0053,,1.0053,1.0053,1.0053
33,2021-12-06,,,,1.006,,1.006,1.006,1.006
34,2021-12-07,,,,1.0062,,1.0062,1.0062,1.0062
35,2021-12-08,,,,1.0064,,1.0064,1.0064,1.0064
36,2021-12-09,,,,1.0066,,1.0066,1.0066,1.0066
37,2021-12-10,,,,1.0069,,1.0069,1.0069,1.0069
38,2021-12-13,,,,1.0073,,1.0073,1.0073,1.0073
39,2021-12-14,,,,1.0075,,1.0075,1.0075,1.0075
40,2021-12-15,,,,1.0075,,1.0075,1.0075,1.0075
41,2021-12-16,,,,1.0076,,1.0076,1.0076,1.0076
42,2021-12-17,,,,1.0077,,1.0077,1.0077,1.0077
43,2021-12-20,,,,1.0078,,1.0078,1.0078,1.0078
44,2021-12-21,,,,1.0076,,1.0076,1.0076,1.0076
45,2021-12-22,,,,1.0076,,1.0076,1.0076,1.0076
46,2021-12-23,,,,1.0079,,1.0079,1.0079,1.0079
47,2021-12-24,,,,1.0081,,1.0081,1.0081,1.0081
48,2021-12-27,,,,1.0085,,1.0085,1.0085,1.0085
49,2021-12-28,,,,1.0088,,1.0088,1.0088,1.0088
50,2021-12-29,,,,1.0093,,1.0093,1.0093,1.0093
51,2021-12-30,,,,1.0097,,1.0097,1.0097,1.0097
52,2021-12-31,,,,1.0098,,1.0098,1.0098,1.0098
53,2022-01-04,,,,1.0105,,1.0105,1.0105,1.0105
54,2022-01-05,,,,1.0109,,1.0109,1.0109,1.0109
55,2022-01-06,,,,1.0115,,1.0115,1.0115,1.0115
56,2022-01-07,,,,1.0118,,1.0118,1.0118,1.0118
