,中债-国债总财富(总值)指数,中债-信用债总财富(总值)指数,沪深300指数(全收益),上证50(全收益),SGE黄金9999
2010-01-04,0.3017941471012041,0.6288996280419691,0.019024515553583535,0.018936369961197734,0.031345339342045614
2010-01-05,0.3014533688427894,0.6282492930579187,0.019155946977113272,0.01913376562237667,0.03200762549980222
2010-01-06,0.30169060217823757,0.6286519035923201,0.01904255456971056,0.018914789349996613,0.03170015030973538
2010-01-07,0.30168328855369037,0.6289354664606224,0.018673914938185147,0.01854578966894243,0.03216154037855988
2010-01-08,0.3016739952984439,0.6291352310779005,0.01873007610688119,0.01857333060743509,0.03188736690933951
2010-01-11,0.3017941471012041,0.6288996280419691,0.019024515553583535,0.018936369961197734,0.031345339342045614
2010-01-12,0.301623119071169,0.6284806219710138,0.019305925583631613,0.01915230352829911,0.03143802984588638
2010-01-13,0.3020363741742277,0.6299916898492417,0.018734246939304033,0.018373272531031788,0.030864416506194835
2010-01-14,0.3017309911798562,0.629674984323705,0.018973299242120052,0.018527629243953334,0.031093096010365466
2010-01-15,0.30161617181535255,0.6297270180987264,0.019039604902557506,0.01855780358428196,0.031059401599081587
2010-01-18,0.3017941471012041,0.6288996280419691,0.019024515553583535,0.018936369961197734,0.031345339342045614
2010-01-19,0.30187145955723416,0.6286336736679413,0.01905203714101055,0.019017100041053427,0.03142572959276061
2010-01-20,0.3022280630989757,0.6296145304674775,0.01844262482802305,0.01844930169552414,0.031265479909999595
2010-01-21,0.30218577443552425,0.6298855562286235,0.01851612852271564,0.018588712575145924,0.0308238282379907
2010-01-22,0.3023174167909825,0.630363965321509,0.018298609613782636,0.018603579060434475,0.030416429213291456
2010-01-25,0.3017941471012041,0.6288996280419691,0.019024515553583535,0.018936369961197734,0.031345339342045614
2010-01-26,0.3021770845282036,0.6294501150784269,0.018536956087697194,0.01860390544628226,0.031231938859390268
2010-01-27,0.30250265800410064,0.6298522881208185,0.01828985482522671,0.018232617257689748,0.03112258179216468
2010-01-28,0.3026460354349356,0.6300091808157096,0.018334326535290088,0.0181347678684821,0.030875689345582966
2010-01-29,0.3029842263258215,0.6299255062746211,0.018319214490978043,0.018064107107930587,0.030706945800649366
2010-02-01,0.31219955581596365,0.6248363222665468,0.017104808341811183,0.017012647838115808,0.028846665737562487
2010-02-02,0.31216309480895277,0.6244095264093773,0.01704762593947544,0.017030105078745417,0.02934964776344897
2010-02-03,0.3120637824909826,0.6233694747752118,0.01747008906837715,0.01748500557517706,0.029611648090251252
2010-02-04,0.3120849756617576,0.6238493312159471,0.017418489469965305,0.01737158880168995,0.02927561485063997
2010-02-05,0.3128567675069112,0.6247070743448342,0.01708102277921866,0.01706894602280844,0.028286189346227366
2010-02-08,0.31219955581596365,0.6248363222665468,0.017104808341811183,0.017012647838115808,0.028846665737562487
